name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,420,140,280,d,0.701,,2.2,2.5,2.3,2.2,2.5,3,1.8,2.6,1.6,2.1,2.1,c,b,,,2,1,0
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,450,136,314,b,0.815,0.188,,,,,,2.5,1.8,,,,,d,d,c,c,1,1,0
Ruprecht-Karls-Universität Heidelberg,Fakultät Chemie und Geowissenschaften at the Uni Heidelberg,170,68,102,c,0.958,0.739,,,,,,,,,,,,e,e,d,d,1,1,0
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,250,70,180,c,0.621,,2.2,2.7,2.5,2.2,2.7,3.3,2.5,2.2,1.7,2.1,2.3,d,c,,,2,2,0
Ruprecht-Karls-Universität Heidelberg,Juristische Fakultät at the Uni Heidelberg,"2,790",,"2,790",b,,,2.9,3.2,2.7,2.4,3,3,2.6,3.1,2.4,2.4,2.8,,,,,0,4,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Mathematik und Informatik at the Uni Heidelberg,770,200,570,d,0.789,0.5,2.2,2.3,2.1,1.9,,2.7,,1.5,1.6,2.3,2.2,d,c,,,1,2,0
Ruprecht-Karls-Universität Heidelberg,Medizinische Fakultät Heidelberg at the Uni Heidelberg,"3,490",164,"3,326",b,0.859,,2.1,1.9,2.4,1.5,1.9,1.8,2,1.9,1.5,1.8,1.6,,d,,,1,5,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Biowissenschaften at the Uni Heidelberg,740,224,516,b,0.878,,2.1,1.9,2.5,1.5,2.1,2.2,2.8,2.1,1.6,1.7,2,,,,,1,2,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Physik und Astronomie at the Uni Heidelberg,"1,800",628,"1,172",,0.968,0.702,1.9,2.2,1.8,1.6,2,,2.2,1.6,1.5,1.7,1.8,e,c,,,1,1,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Wirtschafts- und Sozialwissenschaften at the Uni Heidelberg,640,148,492,b,0.925,0.696,2,2.3,2.4,2.1,2.4,2.8,2.1,1.9,1.5,1.8,2.1,d,c,,,1,1,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,880,260,620,c,0.893,0.759,2,2,2.6,2,2.4,2.4,2.1,3,1.7,1.9,2.2,d,d,,,1,1,0
Ruprecht-Karls-Universität Heidelberg,Neuphilologische Fakultät at the Uni Heidelberg,130,30,100,b,,,,,,,,,,,,,,,b,,,3,3,0
Ruprecht-Karls-Universität Heidelberg,Fakultät für Verhaltens- und Empirische Kulturwissenschaften at the Uni Heidelberg,180,63,117,b,0.689,0.577,,,,,,1.6,,,,,,,e,b,b,1,2,0
Universität Hohenheim,Fakultät Naturwissenschaften at the Uni Hohenheim,530,98,432,c,0.786,,,,,,,1.9,2,,,,,,,,,1,1,0
Universität Hohenheim,Fakultät Naturwissenschaften at the Uni Hohenheim,50,50,0,c,,,,,,,,,,,,,,,,,d,1,3,0
Universität Hohenheim,Fakultät Wirtschafts- und Sozialwissenschaften at the Uni Hohenheim,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Universität Hohenheim,Gemeinsame Kommission Wirtschaftsinformatik der Universitäten Hohenheim und Stuttgart at the Uni Hohenheim,270,,270,b,0.775,0.914,,2.7,,2.8,2.8,,,2.5,2,2.8,2.8,d,d,d,c,1,1,0
Universität Hohenheim,Fakultät Naturwissenschaften at the Uni Hohenheim,50,50,0,c,,,,,,,,,,,,,,,,,d,1,3,0
Universität Hohenheim,Fakultät Wirtschafts- und Sozialwissenschaften at the Uni Hohenheim,"4,150",,"4,150",b,0.768,0.645,2.3,2.3,2,2.1,2.4,2.3,2.5,2.2,1.9,2.2,2.1,,,,,1,4,0
Universität Hohenheim,Fakultät Wirtschafts- und Sozialwissenschaften at the Uni Hohenheim,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Karlsruher Institut für Technologie,Fakultät für Architektur at the Karlsruher Inst. f. Technologie KIT,840,330,510,b,0.951,0.549,2.1,2.3,2.7,2,2.4,2.7,2.8,2.2,1.8,2,2.1,d,a,,,1,1,0
Karlsruher Institut für Technologie,Fakultät für Chemie und Biowissenschaften at the Karlsruher Inst. f. Technologie KIT,480,136,344,b,0.94,,,,,,,2.3,2.6,,,,,,,,,1,1,0
Karlsruher Institut für Technologie,Fakultät für Chemieingenieurwesen und Verfahrenstechnik at the Karlsruher Inst. f. Technologie KIT,"1,210",460,750,b,0.746,0.419,2.2,2.1,2,1.6,2.3,2.5,2.5,2,,1.8,1.8,,,e,d,2,2,0
Karlsruher Institut für Technologie,KIT-Fakultät für Wirtschaftswissenschaften at the Karlsruher Inst. f. Technologie KIT,640,,640,c,,,,,,,,,,,,,,d,d,,,1,1,0
Karlsruher Institut für Technologie,Fakultät für Chemieingenieurwesen und Verfahrenstechnik at the Karlsruher Inst. f. Technologie KIT,"1,210",460,750,b,0.746,0.419,2.2,2.1,2,1.6,2.3,2.5,2.5,2,,1.8,1.8,,,e,d,2,2,0
Karlsruher Institut für Technologie,Fakultät für Chemie und Biowissenschaften at the Karlsruher Inst. f. Technologie KIT,730,149,581,d,,,,,,1.8,,,,,,,2.1,,,,,1,1,0
Karlsruher Institut für Technologie,"Fakultät für Bauingenieur-, Geo- und Umweltwissenschaften at the Karlsruher Inst. f. Technologie KIT",90,90,0,c,,,,,,,,,,,,,,,b,,d,1,4,0
Karlsruher Institut für Technologie,Fakultät für Informatik at the Karlsruher Inst. f. Technologie KIT,"3,160",855,"2,305",b,0.575,0.431,2,2,1.9,1.7,1.9,1.9,2.3,1.7,1.3,1.7,1.6,c,a,e,e,1,1,0
Karlsruher Institut für Technologie,Fakultät für Geistes- und Sozialwissenschaften at the Karlsruher Inst. f. Technologie KIT,150,50,100,,,0.677,,,,,,,,,,,,,,,,0,0,0
Karlsruher Institut für Technologie,Fakultät für Elektrotechnik und Informationstechnik at the Karlsruher Inst. f. Technologie KIT,160,160,0,c,,0.471,,,,,,,,,,,,,a,,d,1,2,0
