name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Technische Universität Darmstadt,Fachbereich Bau- und Umweltingenieurwissenschaften at the TU Darmstadt,720,240,480,b,0.56,0.438,2.4,2.1,2.3,1.8,2.7,2.9,2.4,1.9,,2.3,2.1,d,b,,,2,3,0
Technische Universität Darmstadt,Fachbereich Informatik at the TU Darmstadt,"3,840","1,344","2,496",a,0.398,0.488,2.2,2,1.8,1.7,2.4,2.4,1.9,1.7,1.5,2.2,1.9,c,b,e,e,2,6,0
Technische Universität Darmstadt,Fachbereich Humanwissenschaften at the TU Darmstadt,370,60,310,,0.667,0.333,,,,,,,,,,,,,,,,0,0,0
Technische Universität Darmstadt,Fachbereich Elektrotechnik und Informationstechnik at the TU Darmstadt,280,,280,a,,,,,,,,,,,,,,d,,c,,3,3,0
Technische Universität Darmstadt,Fachbereich Bau- und Umweltingenieurwissenschaften at the TU Darmstadt,720,240,480,b,0.56,0.438,2.4,2.1,2.3,1.8,2.7,2.9,2.4,1.9,,2.3,2.1,d,b,,,2,3,0
Technische Universität Darmstadt,Fachbereich Material- und Geowissenschaften at the TU Darmstadt,510,241,269,b,0.439,0.5,,,,,,,,,,,,e,d,e,,1,2,0
Technische Universität Darmstadt,Fachbereich Gesellschafts- und Geschichtswissenschaften at the TU Darmstadt,420,120,300,b,0.343,,2.3,2.8,3.3,,2.9,4,,2.4,2.4,3.1,3.1,d,c,,,2,5,0
Technische Universität Darmstadt,Fachbereich Rechts- und Wirtschaftswissenschaften at the TU Darmstadt,"2,730",,"2,730",b,0.605,0.639,2.5,2.3,2.5,2.1,2.7,2.8,2.4,1.9,1.7,2.1,2.2,d,b,d,d,3,3,0
Technische Universität Darmstadt,Fachbereich Elektrotechnik und Informationstechnik at the TU Darmstadt,280,,280,a,,,,,,,,,,,,,,d,,c,,3,3,0
Technische Universität Darmstadt,Fachbereich Material- und Geowissenschaften at the TU Darmstadt,490,220,270,b,0.534,0.606,2.1,2,1.8,1.6,2.1,2.4,2.1,1.5,,2.3,1.5,,,e,d,1,2,0
Technische Universität Darmstadt,Fachbereich Mathematik at the TU Darmstadt,720,265,455,a,0.692,0.602,2,1.8,1.9,1.4,2,2.7,1.9,2.1,1.5,1.7,1.6,d,b,,,1,2,0
Technische Universität Darmstadt,Fachbereich Maschinenbau at the TU Darmstadt,"2,540","1,120","1,420",b,0.638,0.374,2.3,2,2,1.6,2.3,2.6,1.9,1.6,,1.9,1.7,,,d,c,1,1,0
Technische Universität Darmstadt,Fachbereich Elektrotechnik und Informationstechnik at the TU Darmstadt,520,150,370,a,0.432,0.375,2,2,2.1,1.6,2.3,2.8,2.1,2.1,,2,1.9,d,c,c,b,1,1,0
Technische Universität Darmstadt,Fachbereich Physik at the TU Darmstadt,640,216,424,a,0.606,0.707,1.9,2.1,2.5,1.5,1.9,,1.9,1.9,1.5,1.8,2,e,b,,,1,1,0
Technische Universität Darmstadt,Fachbereich Gesellschafts- und Geschichtswissenschaften at the TU Darmstadt,"1,040",563,477,b,0.579,0.26,2,2.4,,2.2,2.7,3.6,,2.3,,,2,d,d,,,1,3,0
Technische Universität Darmstadt,Fachbereich Humanwissenschaften at the TU Darmstadt,550,170,380,c,0.862,0.603,,,,,2.5,3.2,,,2,2.7,,d,d,,,3,3,0
Technische Universität Darmstadt,Fachbereich 3: Humanwissenschaften at the TU Darmstadt,390,198,192,,,,,,,,,,,,,,,,3,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 15: Biowissenschaften at the Uni Frankfurt a.M.,"1,240",440,800,c,0.797,,,,,,,2.7,2.5,,,,,,,,,1,6,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 02: Wirtschaftswissenschaften at the Uni Frankfurt a.M.,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 12: Mathematik / Informatik at the Uni Frankfurt a.M.,150,,150,,,0.612,,,,,,,,,,,,,d,,d,0,1,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,"Fachbereich 14: Biochemie, Chemie und Pharmazie at the Uni Frankfurt a.M.","1,090",320,770,a,,,,2.2,,1.8,,,,,,,2.1,,,,,2,2,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 12: Informatik und Mathematik at the Uni Frankfurt a.M.,"2,340",245,"2,095",b,0.546,0.377,2.3,2.7,2.6,,2,2.9,,3.5,,2.8,2.6,c,c,e,e,2,2,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 16: Medizin at the Uni Frankfurt a.M.,860,198,662,,0.645,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 02: Wirtschaftswissenschaften at the Uni Frankfurt a.M.,"5,760",,"5,760",b,0.86,0.746,2.4,2.2,2.1,2.1,2.7,2.3,2.1,1.3,1.6,2,1.9,,,,,1,8,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 02: Wirtschaftswissenschaften at the Uni Frankfurt a.M.,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 04: Erziehungswissenschaften at the Uni Frankfurt a.M.,"1,740",460,"1,280",,0.797,0.688,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 10: Neuere Philologien at the Uni Frankfurt a.M.,630,40,590,,0.652,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 11: Geowissenschaften / Geographie at the Uni Frankfurt a.M.,640,212,428,a,0.812,0.235,,,,,,2.7,,,,,,d,c,c,c,2,2,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 11: Geowissenschaften / Geographie at the Uni Frankfurt a.M.,540,87,453,c,0.579,0.154,2.2,2.6,2.2,2.1,3.1,3.3,,1.6,1.7,,2.3,e,e,e,e,1,1,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 10: Neuere Philologien at the Uni Frankfurt a.M.,"1,210",140,"1,070",,0.667,0.65,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 01: Rechtswissenschaft at the Uni Frankfurt a.M.,"4,670",,"4,670",,,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 12: Informatik und Mathematik at the Uni Frankfurt a.M.,"1,400",109,"1,291",c,0.57,0.577,,,,,,,,,,,,d,d,,,1,1,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 16: Medizin at the Uni Frankfurt a.M.,"3,020",119,"2,901",,0.916,,,,,,,,,,,,,,3,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,"Fachbereich 14: Biochemie, Chemie und Pharmazie at the Uni Frankfurt a.M.",820,0,820,a,0.736,,2.3,2.3,3.1,1.7,2.4,2.3,4.3,1.8,1.8,1.7,2.2,,,,,0,3,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 13: Physik at the Uni Frankfurt a.M.,"1,030",273,757,c,0.738,0.68,2.1,2.3,2.2,1.7,2.3,,2.8,1.8,1.8,1.9,1.9,d,c,,,2,2,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 03: Gesellschaftswissenschaften at the Uni Frankfurt a.M.,"1,760",613,"1,147",b,0.626,0.254,2.2,2.6,2,2.9,2.6,2.8,2,1.5,1.7,2,2.2,b,c,,,1,3,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 05: Psychologie und Sportwissenschaften at the Uni Frankfurt a.M.,990,330,660,,0.848,0.6,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 10: Neuere Philologien at the Uni Frankfurt a.M.,400,30,370,,0.56,,,,,,,,,,,,,,,,,0,0,0
Johann Wolfgang Goethe-Universität Frankfurt am Main,Fachbereich 05: Psychologie und Sportwissenschaften at the Uni Frankfurt a.M.,520,128,392,c,0.468,,2,2.5,2.6,2.7,2.7,3.2,4,2.2,2.3,3.3,2.3,,e,e,d,1,2,0
Justus-Liebig-Universität Giessen,Fachbereich 08: Biologie und Chemie at the Uni Giessen,690,300,390,a,0.961,,2.3,2.2,3,2.3,3.2,2.3,2.2,2.4,1.7,2.1,2.4,,,,,1,3,0
Justus-Liebig-Universität Giessen,Fachbereich Wirtschaftswissenschaften at the Uni Giessen,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,Fachbereich 08: Biologie und Chemie at the Uni Giessen,370,219,151,b,,,,1.6,,1.3,,,,,,,1.6,,,,,3,3,0
Justus-Liebig-Universität Giessen,Fachbereich 11 Medizin at the Uni Giessen,430,,430,,0.965,,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,Fachbereich Wirtschaftswissenschaften at the Uni Giessen,"2,970",,"2,970",b,0.735,0.352,2.2,2,1.9,1.9,2,2.5,2.1,1.9,1.6,2.3,1.9,,,,,1,2,0
Justus-Liebig-Universität Giessen,Fachbereich Wirtschaftswissenschaften at the Uni Giessen,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,Fachbereich 03: Sozial- und Kulturwissenschaften at the Uni Giessen,"1,110",330,780,,0.829,0.708,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,"Fachbereich 05: Sprache, Literatur, Kultur at the Uni Giessen",590,120,470,b,0.829,0.371,2.2,2.6,2.6,2.5,2.6,3.2,2.2,3.1,2,2.6,2.5,c,b,,,4,6,0
Justus-Liebig-Universität Giessen,"Fachbereich 07 Mathematik und Informatik, Physik, Geographie at the Uni Giessen",700,113,587,d,0.545,,,,,,,,,,,,,d,d,c,d,1,2,0
Justus-Liebig-Universität Giessen,"Fachbereich 05: Sprache, Literatur, Kultur at the Uni Giessen",560,170,390,b,0.806,0.804,,,,,,,,,,,,e,d,,,4,5,0
Justus-Liebig-Universität Giessen,Fachbereich Rechtswissenschaft at the Uni Giessen,"2,180",,"2,180",c,,,2.1,2.2,2.2,1.7,2.4,2.6,,1.9,1.8,2.1,2,,,,,0,3,0
Justus-Liebig-Universität Giessen,"Fachbereich 07 Mathematik und Informatik, Physik, Geographie at the Uni Giessen",240,71,169,c,0.861,0.409,,,,,,,,,,,,e,e,,,1,1,0
Justus-Liebig-Universität Giessen,Fachbereich 11 Medizin at the Uni Giessen,"2,460",,"2,460",,0.942,,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,"Fachbereich 07 Mathematik und Informatik, Physik, Geographie at the Uni Giessen",250,97,153,c,0.891,0.484,,2.7,2.8,1.6,,,,,1.5,,2.6,e,e,,,2,1,0
Justus-Liebig-Universität Giessen,Fachbereich Sozial- und Kulturwissenschaften at the Uni Giessen,660,103,557,,0.652,,,,,,,,,,,,,,,,,0,0,0
Justus-Liebig-Universität Giessen,Fachbereich 06: Psychologie und Sportwissenschaft at the Uni Giessen,880,300,580,b,0.944,0.776,2.5,2.4,2.7,2,2.2,3.2,2.6,2.6,1.7,2.5,2.1,d,d,,,1,1,0
Justus-Liebig-Universität Giessen,"Fachbereich 05: Sprache, Literatur, Kultur at the Uni Giessen",210,60,150,b,0.856,0.565,,,,,,,,,,,,c,c,,,8,6,0
Justus-Liebig-Universität Giessen,Fachbereich 06: Psychologie und Sportwissenschaft at the Uni Giessen,520,170,350,b,0.919,0.308,,,,,,3.4,,,,,,,e,c,d,1,2,0
Philipps-Universität Marburg,Fachbereich 17 Biologie at the Uni Marburg,790,264,526,c,0.834,,2.4,2.4,2.9,2.9,2.7,2.3,2.6,,,2.3,2.4,,,,,1,4,0
Philipps-Universität Marburg,Fachbereich 02: Wirtschaftswissenschaften at the Uni Marburg,"1,200",,"1,200",b,0.76,0.446,,,,,,,,,,,,,,,,2,4,0
Philipps-Universität Marburg,Fachbereich 12: Mathematik und Informatik at the Uni Marburg,280,,280,,,,,,,,,,,,,,,,,,,0,0,0
Philipps-Universität Marburg,Fachbereich 15 Chemie at the Uni Marburg,850,215,635,c,,,,,,2.1,,,,,,,,,,,,1,1,0
Philipps-Universität Marburg,Fachbereich 12 Mathematik und Informatik at the Uni Marburg,"1,500",54,"1,446",,0.348,,,,,,,,,,,,,,,,,0,0,0
Philipps-Universität Marburg,Fachbereich 20 Medizin at the Uni Marburg,440,17,423,b,0.958,,2.6,2.8,3.3,2.9,2.7,2.4,4,3.9,2.9,3.4,2.7,,,,,0,2,0
Philipps-Universität Marburg,Fachbereich 02: Wirtschaftswissenschaften at the Uni Marburg,400,,400,b,0.688,0.431,,,,,,,,,,,,,,,,1,5,0
Philipps-Universität Marburg,Fachbereich 21: Erziehungswissenschaften at the Uni Marburg,930,210,720,,0.779,0.587,,,,,,,,,,,,,,,,0,0,0
Philipps-Universität Marburg,Fachbereich 10: Fremdsprachliche Philologien at the Uni Marburg,230,60,170,,0.818,,,,,,,,,,,,,,,,,0,0,0
Philipps-Universität Marburg,Fachbereich 19 Geographie at the Uni Marburg,450,90,360,b,0.816,,,,,,,,,,,,,d,d,c,c,1,2,0
Philipps-Universität Marburg,Fachbereich 09: Germanistik und Kunstwissenschaften at the Uni Marburg,"1,030",340,690,c,0.823,,2.2,3,,,2.4,,,,1.9,2.1,,c,d,,,2,7,0
Philipps-Universität Marburg,Fachbereich 01: Rechtswissenschaften at the Uni Marburg,"2,120",,"2,120",b,,,2.4,3.1,2.5,2.3,2.5,3,2.4,2.2,2.2,2.2,2.3,,,,,0,5,0
Philipps-Universität Marburg,Fachbereich 12 Mathematik und Informatik at the Uni Marburg,920,69,851,c,0.696,0.682,1.6,2.1,2.1,1.3,1.6,2.3,,1.9,1.6,1.5,1.7,d,c,,,2,2,0
Philipps-Universität Marburg,Fachbereich 20 Medizin at the Uni Marburg,"2,730",128,"2,602",,0.956,,,,,,,,,,,,,,3,,,0,0,0
Philipps-Universität Marburg,Fachbereich 16 Pharmazie at the Uni Marburg,"1,290",,"1,290",c,0.727,,2.6,2.2,2.9,1.9,2.2,2.5,2.9,2.4,1.8,2.1,2.4,,,,,0,1,0
Philipps-Universität Marburg,Fachbereich 13 Physik at the Uni Marburg,460,115,345,a,0.642,0.567,1.8,2.2,2.7,1.6,1.9,,2.4,2,1.9,2.1,2,d,c,,,1,3,0
Philipps-Universität Marburg,Fachbereich 03 Gesellschaftswissenschaften und Philosophie at the Uni Marburg,820,127,693,b,0.764,0.283,2.6,2.9,2.5,2.7,2.7,3.3,,3.3,2.4,2.7,2.7,d,d,,,1,1,0
Philipps-Universität Marburg,Fachbereich 04: Psychologie at the Uni Marburg,"1,020",210,810,c,0.931,0.881,2.6,,2.9,2,,2.3,2.9,2.2,1.9,2.3,2.3,d,c,,,1,1,0
Philipps-Universität Marburg,Fachbereich 10: Fremdsprachliche Philologien at the Uni Marburg,130,10,120,b,,,,,,,,,,,,,,b,c,,,1,1,0
Philipps-Universität Marburg,Fachbereich 21 Erziehungswissenschaften at the Uni Marburg,510,203,307,,,0.763,,,,,,,,,,,,,3,,,0,0,0
Hochschule Macromedia,Betriebswirtschaftliche Studiengänge (München) at the HS Macromedia/München (priv.),"3,000",,"3,000",b,,,2.4,2.6,2.4,2.2,2.5,2.2,2.5,1.6,2.7,1.9,2.6,c,c,b,c,9,5,0
EBS Universität für Wirtschaft und Recht,EBS Business School at the EBS Universität/Oestrich-Winkel (priv.),"1,510",,"1,510",b,0.92,0.776,1.4,1.3,1.3,1.3,1.7,1.2,1.5,2.2,1.4,1.7,1.3,,,,,1,8,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,860,508,352,d,0.646,,2,2.1,2.3,1.5,2.2,2.4,2.3,1.8,1.6,1.9,1.8,,,,,4,6,0
Universität Greifswald,Rechts- und Staatswissenschaftliche Fakultät at the Uni Greifswald,"1,110",,"1,110",c,0.519,0.41,1.9,1.9,2.1,1.5,2.2,,2.1,1.8,1.8,1.9,1.8,,,,,2,2,1
Universität Greifswald,Medizinische Fakultät at the Uni Greifswald,279,,279,c,0.878,,1.7,1.5,1.8,1.3,1.6,1.4,1.6,1.6,1.3,1.6,1.4,,,,,0,1,0
Universität Greifswald,Philosophische Fakultät at the Uni Greifswald,80,,80,,,,,,,,,,,,,,,,,,,0,0,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,270,133,137,,0.837,0.246,,,,,,,,,,,,e,e,,d,1,2,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,140,22,118,d,0.667,,,,,,,,,,,,,d,b,d,e,1,1,0
Universität Greifswald,Philosophische Fakultät at the Uni Greifswald,190,50,140,,0.333,0.105,,,,,,,,,,,,,,,,0,0,0
Universität Greifswald,Rechts- und Staatswissenschaftliche Fakultät at the Uni Greifswald,"1,300",,"1,300",c,,,2.2,2.8,2.6,1.7,2.3,3,2.6,2.5,3,2.2,,,,,,0,1,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,240,41,199,c,0.952,,,,,,,,,,,,,c,c,,,3,2,0
Universität Greifswald,Medizinische Fakultät at the Uni Greifswald,"2,040",,"2,040",d,0.89,,2.6,2.2,2.9,1.7,2.3,2.2,2.5,1.7,1.9,1.9,2.1,,,,,1,1,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,510,,510,,0.782,,1.9,1.9,2.5,1.6,2,2,2.3,2,1.7,1.9,1.7,,,,,0,1,1
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,140,18,122,d,,,,,,,,,,,,,,e,b,,,1,1,0
Universität Greifswald,Philosophische Fakultät at the Uni Greifswald,270,60,210,c,0.74,0.263,,,2.7,2,2.7,2.8,2.2,,,2.2,2.2,c,b,,,1,1,0
Universität Greifswald,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Greifswald,410,100,310,,,,,,,,1.8,2.4,,2.9,1.6,2.1,,e,,,,1,1,0
Universität Rostock,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Rostock,800,216,584,,0.867,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Universitätsmedizin at the Uni Rostock,170,,170,,0.957,1,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Rostock,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Fakultät für Informatik und Elektrotechnik (IEF) at the Uni Rostock,170,,170,c,,0.935,2,1.7,2.1,1.6,2.1,2.1,1.8,1.5,1.5,1.6,2,d,b,c,d,1,1,0
Universität Rostock,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Rostock,460,68,392,a,,,,2,,1.2,,,,,,,1.8,,,,,1,1,0
Universität Rostock,Fakultät für Informatik und Elektrotechnik at the Uni Rostock,650,67,583,c,0.936,0.743,,,,,,,,,,,,d,b,d,,1,2,0
Universität Rostock,Medizinische Fakultät at the Uni Rostock,190,,190,,1,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Rostock,810,,810,c,0.939,0.875,3,2.8,2.9,2.3,3.3,3.5,,1.9,1.9,2.1,2.9,,,,,1,2,0
Universität Rostock,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Rostock,,,0,,,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Philosophische Fakultät at the Uni Rostock,160,150,10,,,0.831,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Fakultät für Informatik und Elektrotechnik at the Uni Rostock,140,140,0,a,,0.448,,,,,,,,,,,,,b,,d,3,5,0
Universität Rostock,Philosophische Fakultät at the Uni Rostock,150,20,130,,0.95,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Agrar- und Umweltwissenschaftliche Fakultät at the Uni Rostock,140,70,70,c,,0.39,1.9,1.9,2.2,1.7,2,2.2,,2.7,,1.4,1.7,,d,,e,0,2,0
Universität Rostock,Philosophische Fakultät at the Uni Rostock,300,40,260,,0.929,0.5,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Fakultät für Maschinenbau und Schiffstechnik (MSF) at the Uni Rostock,220,,220,b,0.862,0.9,,,,,,,,,,,,d,c,d,,1,1,0
Universität Rostock,Fakultät für Informatik und Elektrotechnik at the Uni Rostock,140,140,0,a,,0.448,,,,,,,,,,,,,b,,d,3,5,0
Universität Rostock,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Rostock,120,380,-260,b,0.87,,,,,,,,,,,,,e,e,,,1,2,0
Universität Rostock,Fakultät für Maschinenbau und Schiffstechnik at the Uni Rostock,700,230,470,b,0.826,0.636,2.2,2.8,2.7,1.7,2.3,3.1,2.5,2.5,,2.2,,,,d,e,2,3,0
Universität Rostock,Fakultät für Maschinenbau und Schiffstechnik at the Uni Rostock,90,20,70,b,,,,,,,,,,,,,,,c,,e,1,1,0
Universität Rostock,Medizinische Fakultät at the Uni Rostock,"1,970",,"1,970",,0.912,,,,,,,,,,,,,,,,,0,0,0
Universität Rostock,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Rostock,500,268,232,b,0.925,0.847,1.6,1.5,2,1.3,1.5,,1.8,1.1,1.3,1.3,1.5,e,c,,,1,3,0
Universität Rostock,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Rostock,230,34,196,a,0.88,0.66,2,2.4,2.7,1.9,2.2,2.9,2.2,2,2.1,2.1,2.2,e,c,,,1,1,0
Universität Rostock,Philosophische Fakultät at the Uni Rostock,30,,30,,,,,,,,,,,,,,,,,,,2,2,0
Universität Rostock,Philosophische Fakultät at the Uni Rostock,0,,0,c,,,2.3,,,3.1,,,,3.2,1.8,,3,,,c,,1,0,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Architektur, Bauingenieurwesen und Umweltwissenschaften at the TU Braunschweig","1,200",230,970,c,0.218,0.436,2.2,2.3,2.6,2.3,2.6,2.9,2.1,2.5,2,2.4,2.2,e,d,,,2,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Lebenswissenschaften at the TU Braunschweig,"1,010",274,736,c,0.63,,,,,,,1.8,2.1,,,,,,,,,2,2,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät für Maschinenbau at the TU Braunschweig,"2,810","1,310","1,500",b,0.492,0.432,2,2,1.9,1.8,2.2,2.5,2,3.4,,2.1,1.9,,,d,c,2,7,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Carl-Friedrich-Gauss-Fakultät at the TU Braunschweig,350,,350,,,,,,,,,,,,,,,,,,,0,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Carl-Friedrich-Gauss-Fakultät at the TU Braunschweig,750,,750,b,0.5,0.642,2.7,2.8,,2.3,,,,3.5,,,2.5,d,c,d,c,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Lebenswissenschaften at the TU Braunschweig,490,117,373,b,,,,2.5,,2,,,,,,,2.4,,,,,1,2,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Architektur, Bauingenieurwesen und Umweltwissenschaften at the TU Braunschweig",570,190,380,c,0.558,0.33,2.2,2.6,2.3,2.4,2.7,,,3.4,,2.2,2.3,d,c,,,3,4,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Carl-Friedrich-Gauss-Fakultät at the TU Braunschweig,"1,010",180,830,b,0.6,0.44,2.3,2.6,1.9,1.8,2.1,,,2.4,,2.7,2.1,d,d,d,d,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Geistes- und Erziehungswissenschaften at the TU Braunschweig,350,,350,,0.826,,2,2.5,2.8,2.6,2.3,2.8,2.7,2.5,2,2.8,2.4,,,d,,2,0,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Elektrotechnik, Informationstechnik, Physik at the TU Braunschweig","1,180",430,750,a,0.422,0.438,2.1,2,1.9,1.7,2.2,2.4,2.2,2.7,,1.9,1.9,c,c,c,c,3,2,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Geistes- und Erziehungswissenschaften at the TU Braunschweig,530,,530,b,0.803,,2.1,,2.6,,2.5,2.8,2.3,2.8,2,2.6,2.5,b,,,,1,0,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Architektur, Bauingenieurwesen und Umweltwissenschaften at the TU Braunschweig",570,190,380,c,0.558,0.33,2.2,2.6,2.3,2.4,2.7,,,3.4,,2.2,2.3,d,c,,,3,4,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät Architektur, Bauingenieurwesen und Umweltwissenschaften at the TU Braunschweig",270,93,177,c,,,2.1,2.4,2.2,1.8,2.6,2.6,,2.6,1.6,2,2.2,,d,d,d,2,2,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Geistes- und Erziehungswissenschaften at the TU Braunschweig,990,,990,b,0.789,,,,,,,,,,,,,d,,,,1,0,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Architektur, Bauingenieurwesen und Umweltwissenschaften at the TU Braunschweig","2,350",,"2,350",c,0.535,0.565,,,2.5,1.9,,,,3.1,1.9,,2.2,,d,d,d,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät für Maschinenbau at the TU Braunschweig,"2,350",,"2,350",b,0.519,0.738,2.5,2.1,2.1,2.1,2.2,2.9,2.2,3.5,1.5,,2.3,,d,d,d,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Elektrotechnik, Informationstechnik, Physik at the TU Braunschweig",380,,380,c,0.447,0.885,,,,,,,,,,,,c,d,d,c,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Carl-Friedrich-Gauss-Fakultät at the TU Braunschweig,550,98,452,b,0.736,0.64,,,,,,,,,,,,d,d,,,4,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät für Maschinenbau at the TU Braunschweig,"2,810","1,310","1,500",b,0.492,0.432,2,2,1.9,1.8,2.2,2.5,2,3.4,,2.1,1.9,,,d,c,2,7,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Elektrotechnik, Informationstechnik, Physik at the TU Braunschweig",180,180,0,a,,,,,,,,,,,,,,,c,,d,0,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Fakultät Lebenswissenschaften at the TU Braunschweig,760,,760,d,0.648,,1.7,1.6,2.1,1.3,1.7,1.8,2.3,2.2,1.3,1.5,1.7,,,,,0,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,"Fakultät für Elektrotechnik, Informationstechnik, Physik at the TU Braunschweig",220,63,157,a,0.659,0.652,,,,1.8,,,,3.4,,1.9,,e,e,,,1,1,0
Technische Universität Carolo-Wilhelmina zu Braunschweig,Carl-Friedrich-Gauss-Fakultät at the TU Braunschweig,530,160,370,,0.684,,,,,,,,,,,,,,,,,0,0,0
