id,name,total_number_of_students,students_at_this_campus,tuition_fees,medicine_health_science_per,natural_sciences_mathematics_per,law_economic_and_social_sciences_per,humanities_languages_per,engineering_science_incl_computer_science_per,other_studies_per,bachelors_degree_per,masters_degree_percentage_per,departments
472,Hochschule Hannover,9857,9857,There are no study fees.,0.03,0.014,0.292,0.072,0.447,0.146,0.897,0.094,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät I Elektro- und Informationstechnik), Industrial Engineering (Fakultät Maschinenbau und Bioverfahrenstechnik), Interdisciplinary programmes, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
474,Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,6034,3120,There are no study fees.,0.068,0,0.353,0,0.302,0.277,0.846,0.153,"Architecture, Civil Engineering, Social Policy and Social Work"
478,JADE Hochschule Wilhelmshaven/Oldenburg/Elsfleth,7161,2048,There are no study fees.,0.025,0,0.015,0,0.959,0,0.855,0.142,"Architecture, Civil Engineering, Civil Engineering, Computer Science, Industrial Engineering (Fachbereich Bauwesen und Geoinformation), Industrial Engineering (Fachbereich Bauwesen und Geoinformation), Interdisciplinary programmes"
480,Hochschule Osnabrück,14153,11787,There are no study fees.,0.091,0.01,0.352,0,0.289,0.258,0.824,0.148,"Business Administration, Business Informatics, Business Psychology, Civil Engineering, Commercial / Business Law, Computer Science, Economics, Electrical / Information Engineering, Industrial Engineering, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Process Engineering (Fakultät Agrarwissenschaften und Landschaftsarchitektur), Process Engineering (Fakultät Ingenieurwissenschaften und Informatik), Social Policy and Social Work"
482,Hochschule Emden/Leer,4631,4244,There are no study fees.,0.033,0.055,0.496,0,0.416,0,0.871,0.121,"Biotechnology, Business Administration (Fachbereich Wirtschaft - Campus Emden), Business Administration (Fachbereich Wirtschaft - Emden / Studiengang Management Consulting), Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Social Policy and Social Work"
483,JADE Hochschule Wilhelmshaven/Oldenburg/Elsfleth,7161,4484,There are no study fees.,0,0.011,0.502,0,0.486,0,0.906,0.087,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
484,PFH - Private Hochschule Göttingen,3399,3399,"min. 700,00",0.024,0,0.949,0,0.027,0,0.778,0.191,"Business Administration, Business Psychology, Commercial / Business Law, Industrial Engineering"
492,FH Aachen,14410,10748,There are no study fees.,0,0,0.26,0,0.656,0.084,0.871,0.124,"Architecture, Business Administration (Fachbereich Wirtschaftswissenschaften), Business Administration (Fachbereich Maschinenbau und Mechatronik), Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechanical Engineering, Mechatronics"
494,Fachhochschule Bielefeld,10255,8344,There are no study fees.,0.046,0.041,0.505,0,0.342,0.065,0.867,0.122,"Biotechnology, Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
495,Fachhochschule der Diakonie,788,788,"min. 350,00",0.617,0,0.383,0,0,0,0.931,0.069,"Business Administration, Nursing Science, Social Policy and Social Work"
496,Hochschule Bochum,8279,7909,There are no study fees.,0,0.009,0.342,0,0.65,0,0.872,0.121,"Architecture, Business Administration (Fachbereich Wirtschaft), Business Administration (Fachbereich Wirtschaft - International Business and Management), Business Informatics, Civil Engineering, Computer Science (Fachbereich Geodäsie), Computer Science (Fachbereich Elektrotechnik und Informatik), Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
498,Fachhochschule Dortmund,14470,14470,There are no study fees.,0,0,0.362,0,0.556,0.082,0.885,0.115,"Architecture, Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering (Fachbereich Elektrotechnik), Electrical / Information Engineering (Fachbereich Informationstechnik), Interdisciplinary programmes, Mechanical Engineering, Social Policy and Social Work"
500,Hochschule Düsseldorf,11018,11018,There are no study fees.,0,0,0.391,0,0.507,0.103,0.878,0.122,"Architecture, Business Administration, Computer Science, Electrical / Information Engineering, Environmental Engineering, Industrial Engineering (Fachbereich 3 - Elektrotechnik), Industrial Engineering (Fachbereich 4 - Maschinenbau und Verfahrenstechnik), Interdisciplinary programmes, Mechanical Engineering, Social Policy and Social Work"
502,Westfälische Hochschule,9059,5012,There are no study fees.,0,0,0.218,0.099,0.683,0,0.842,0.158,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Physical Technology, Process Engineering"
504,Technische Hochschule Köln,25852,19997,There are no study fees.,0,0,0.326,0.099,0.527,0.048,0.813,0.171,"Architecture, Business Administration, Civil Engineering, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechanical Engineering, Process Engineering, Social Policy and Social Work"
508,Technische Hochschule Ostwestfalen-Lippe,6707,3614,There are no study fees.,0,0.066,0.107,0,0.618,0.209,0.854,0.13,"Biotechnology, Business Administration, Business Psychology, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Mechanical Engineering, Mechatronics"
510,Fachhochschule Südwestfalen,12740,2237,There are no study fees.,0,0.127,0,0,0.873,0,0.823,0.177,"Biotechnology, Computer Science, Materials Science / Engineering, Mechanical Engineering, Mechatronics"
512,Fachhochschule Münster,14868,10147,There are no study fees.,0.094,0,0.463,0,0.265,0.179,0.762,0.181,"Architecture, Business Administration, Business Informatics, Civil Engineering, Nursing Science, Social Policy and Social Work"
514,Hochschule Niederrhein,14324,5923,There are no study fees.,0.146,0.068,0.164,0,0.524,0.097,0.863,0.137,"Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Process Engineering"
515,Hochschule Bonn-Rhein-Sieg,9011,6204,There are no study fees.,0,0,0.41,0,0.59,0,0.848,0.146,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Mechanical Engineering"
517,IUBH Internationale Hochschule,21162,19009,"min. 5.290,00",0.087,0,0.837,0,0.075,0,0.839,0.161,"Business Administration, Business Informatics, Social Policy and Social Work"
518,International School of Management (ISM),2624,853,"min. 5.180,00",0,0,1,0,0,0,0.76,0.24,"Business Administration, Business Psychology, Commercial / Business Law"
520,Rheinische Fachhochschule Köln,6246,6073,There are no study fees.,0.05,0.018,0.381,0,0.515,0.036,0.786,0.214,"Biotechnology, Business Administration (Fachbereich Medizinökonomie und Gesundheit), Business Administration (Fachbereich Wirtschaft und Recht), Business Administration (Fachbereich Medien), Business Informatics, Business Psychology, Commercial / Business Law, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Nursing Science"
521,Fachhochschule der Wirtschaft (FHDW),2156,660,There are no study fees.,0,0,0.477,0,0.523,0,0.829,0.171,"Business Administration, Business Informatics, Computer Science"
522,Evangelische Hochschule Rheinland-Westfalen-Lippe,2436,2436,There are no study fees.,0.089,0,0.874,0.037,0,0,0.928,0.072,"Nursing Science, Social Policy and Social Work"
523,Katholische Hochschule Nordrhein-Westfalen,5313,1125,There are no study fees.,0.028,0,0.972,0,0,0,0.869,0.131,Social Policy and Social Work
524,Technische Hochschule Bingen,2731,2731,"min. 650,00",0,0.096,0,0,0.787,0.117,0.845,0.155,"Biotechnology, Computer Science, Electrical / Information Engineering, Environmental Engineering, Industrial Engineering, Mechanical Engineering, Process Engineering"
525,Hochschule Kaiserslautern,6107,2764,There are no study fees.,0,0,0,0,0.934,0.066,0.766,0.208,"Architecture, Civil Engineering, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Process Engineering"
526,Hochschule Koblenz,9837,6688,There are no study fees.,0,0,0.514,0,0.486,0,0.826,0.168,"Architecture, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fachbereich Ingenieurwesen), Industrial Engineering (Fachbereich bauen-kunst-werkstoffe), Mechanical Engineering, Mechatronics, Social Policy and Social Work"
527,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,4674,4674,There are no study fees.,0.097,0,0.782,0,0.089,0.032,0.778,0.222,"Business Administration (Fachbereich I - Management, Controlling, HealthCare), Business Administration (Fachbereich II - Marketing und Personalmanagement), Business Administration (Fachbereich III - Dienstleistungen und Consulting), Business Informatics, Nursing Science, Social Policy and Social Work"
528,Hochschule Mainz,5607,5607,There are no study fees.,0,0,0.498,0.01,0.351,0.141,0.762,0.218,"Architecture, Business Administration, Business Informatics, Civil Engineering, Commercial / Business Law, Computer Science, Industrial Engineering"
529,Hochschule Trier,7357,5100,There are no study fees.,0.047,0,0.152,0,0.666,0.135,0.81,0.19,"Architecture, Business Administration, Business Informatics, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering"
530,Hochschule Worms,3722,3722,There are no study fees.,0,0,0.785,0,0.215,0,0.815,0.185,"Business Administration (Fachbereich Touristik / Verkehrswesen), Business Administration (Fachbereich Wirtschaftswissenschaften), Business Informatics, Computer Science"
532,Katholische Hochschule Mainz,1438,1438,There are no study fees.,0.465,0,0.505,0.031,0,0,0.879,0.121,"Nursing Science, Social Policy and Social Work"
533,Hochschule für Technik und Wirtschaft des Saarlandes,6040,6040,There are no study fees.,0.021,0,0.509,0,0.47,0,0.821,0.166,"Architecture, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
538,Hochschule für Technik und Wirtschaft Dresden,4550,4550,There are no study fees.,0,0.017,0.147,0,0.704,0.132,0.461,0.115,"Business Administration, Business Informatics, Chemical Engineering, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering"
540,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",6054,6054,There are no study fees.,0,0.007,0.2,0.067,0.727,0,0.696,0.256,"Architecture, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Process Engineering, Social Policy and Social Work"
542,Hochschule Mittweida,6900,6900,There are no study fees.,0.007,0.12,0.369,0,0.489,0.015,0.673,0.166,"Biotechnology, Business Administration, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Physical Technology, Social Policy and Social Work"
546,Hochschule Zittau/Görlitz,2911,1243,There are no study fees.,0,0.271,0.178,0,0.548,0.003,0.371,0.157,"Biotechnology, Business Administration, Chemical Engineering, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics"
548,Westsächsische Hochschule Zwickau,3955,3778,min. 200,0.098,0,0.178,0.134,0.558,0.031,0.374,0.141,"Business Administration, Computer Science, Electrical / Information Engineering, Environmental Engineering, Industrial Engineering, Materials Science / Engineering, Mechanical Engineering, Mechanical Engineering, Nursing Science, Physical Technology"
552,Evangelische Hochschule Dresden,699,699,There are no study fees.,0.153,0,0.847,0,0,0,0.821,0.176,"Nursing Science, Social Policy and Social Work"
556,Hochschule Anhalt,6879,2289,There are no study fees.,0,0.112,0.09,0,0.748,0.05,0.735,0.239,"Biotechnology, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Process Engineering"
559,Hochschule Magdeburg-Stendal,5664,3953,There are no study fees.,0.143,0.019,0.245,0.067,0.458,0.069,0.784,0.183,"Civil Engineering, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work"
560,Hochschule Merseburg,2791,2791,There are no study fees.,0,0.027,0.612,0,0.361,0,0.779,0.212,"Business Administration, Business Informatics, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work"
562,Hochschule Harz - Hochschule für angewandte Wissenschaften (FH),3104,2350,There are no study fees.,0,0,0.717,0,0.283,0,0.823,0.158,"Business Administration, Business Informatics, Business Psychology, Computer Science (Fachbereich Automatisierung und Informatik (Informatik)), Computer Science (Fachbereich Automatisierung und Informatik (Medieninformatik)), Electrical / Information Engineering, Industrial Engineering"
564,Hochschule Flensburg,3866,3866,There are no study fees.,0.023,0,0.241,0.056,0.681,0,0.817,0.183,"Biotechnology, Business Administration, Business Informatics, Computer Science, Energy Systems, Mechanical Engineering"
565,Fachhochschule Westküste,1923,1923,There are no study fees.,0,0,0.876,0,0.124,0,0.901,0.099,"Business Administration, Business Psychology, Commercial / Business Law, Electrical / Information Engineering, Industrial Engineering"
566,Fachhochschule Kiel,7830,7830,There are no study fees.,0.025,0.022,0.521,0,0.368,0.064,0.818,0.182,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering (Fachbereich Wirtschaft), Industrial Engineering (Fachbereich Maschinenwesen), Industrial Engineering (Fachbereich Informatik und Elektrotechnik), Mechanical Engineering, Mechatronics, Social Policy and Social Work"
568,Technische Hochschule Lübeck,5027,5027,There are no study fees.,0,0,0.223,0,0.777,0,0.857,0.143,"Architecture, Business Administration, Chemical Engineering, Civil Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering"
569,NORDAKADEMIE Hochschule der Wirtschaft,2402,2402,"min. 9.900,00",0,0,0.697,0,0.303,0,0.639,0.361,"Business Administration, Business Informatics, Computer Science, Industrial Engineering"
572,Fachhochschule Wedel,1305,1305,no data,0,0,0.387,0,0.613,0,0.808,0.192,"Business Administration, Business Informatics, Computer Science, Industrial Engineering"
574,Fachhochschule Erfurt,3937,3937,There are no study fees.,0,0,0.322,0,0.485,0.194,0.746,0.228,"Architecture, Business Administration, Civil Engineering, Computer Science, Energy Systems, Industrial Engineering (Fakultät Gebäudetechnik und Informatik), Industrial Engineering (Fakultät Wirtschaft - Logistik - Verkehr), Mechanical Engineering, Social Policy and Social Work"
576,Ernst-Abbe-Hochschule Jena,4549,4549,There are no study fees.,0.094,0.063,0.284,0.019,0.54,0,0.682,0.279,"Biotechnology, Business Administration, Business Informatics, Electrical / Information Engineering (Fachbereich Elektrotechnik und Informationstechnik), Electrical / Information Engineering (Fachbereich SciTec), Environmental Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology, Social Policy and Social Work"
577,Private Hochschule für Wirtschaft und Technik,581,207,no data,0,0,0.889,0,0.111,0,0.937,0.063,"Business Administration, Business Informatics"
578,Hochschule Schmalkalden,2518,2518,There are no study fees.,0.005,0,0.468,0,0.527,0,0.586,0.282,"Business Administration, Business Informatics, Commercial / Business Law, Computer Science, Economics, Electrical / Information Engineering, Industrial Engineering (Fakultät Elektrotechnik), Industrial Engineering (Fakultät Maschinenbau), Mechanical Engineering"
602,"Hochschule für Medien, Kommunikation und Wirtschaft",1869,778,no data,0,0,0.819,0,0,0.181,0.797,0.202,"Business Administration, Business Psychology"
603,"hwtk - Internationale Hochschule für Wirtschaft, Technik und Kultur",437,437,"min. 580,00",0,0,1,0,0,0,0.86,0.114,"Business Administration, Business Informatics"
604,Steinbeis-Hochschule Berlin (SHB),8142,8142,There are no study fees.,0.141,0,0.823,0,0.037,0,0.682,0.318,"Business Administration, Business Informatics, Industrial Engineering"
609,Wilhelm Löhe Hochschule,193,193,min. 1.600,0.503,0,0.497,0,0,0,0.933,0.067,Business Administration
610,Munich Business School,604,604,"min. 24.000,00",0,0,1,0,0,0,0.391,0.609,Business Administration
616,"DIPLOMA Hochschule, Fachhochschule Nordhessen",6476,439,no data,0,0,0.387,0,0.533,0.08,1,0,"Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Industrial Engineering, Mechatronics, Social Policy and Social Work"
619,FOM Hochschule für Oekonomie & Management,50095,4302,There are no study fees.,0.121,0,0.788,0,0.091,0,0.792,0.208,"Business Administration, Business Informatics, Business Psychology, Commercial / Business Law, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
621,Evangelische Hochschule Ludwigsburg,1272,1202,There are no study fees.,0.052,0,0.789,0.16,0,0,0.913,0.087,"Nursing Science, Social Policy and Social Work"
626,Zeppelin Universität,928,928,"min. 12.000,00",0,0,0.806,0.194,0,0,0.723,0.235,"Economic Sciences, Political Science"
628,Europäische Fachhochschule Rhein/Erft - Brühl,1647,1179,no data,0,0,0.916,0,0.084,0,0.819,0.157,"Business Administration (Fachbereich General Management), Business Administration (Fachbereich Handels- und Logistikmanagement), Business Administration (Business School), Business Informatics, Industrial Engineering"
643,accadis Hochschule Bad Homburg,515,515,"min. 5.160,00",0,0,1,0,0,0,0.798,0.202,Business Administration
644,hochschule 21,1044,1044,There are no study fees.,0.253,0,0.138,0,0.609,0,0.99,0.004,"Architecture, Civil Engineering, Industrial Engineering, Mechatronics, Nursing Science"
652,Provadis Hochschule,1162,1162,no data,0,0.052,0.691,0,0.257,0,0.865,0.135,"Biotechnology, Business Administration, Business Informatics, Chemical Engineering, Interdisciplinary programmes"
653,Touro College Berlin,127,127,"min. 4.500,00",0,0,0.906,0.094,0,0,0.866,0.134,Business Administration
654,HSBA Hamburg School of Business Administration,1020,1020,"min. 425,00",0,0,0.944,0,0.056,0,0.702,0.298,"Business Administration, Business Informatics"
656,Karlshochschule International University,507,507,"max. 690,00",0,0,0.943,0.057,0,0,0.85,0.081,Business Administration
661,FHDW Fachhochschule für die Wirtschaft Hannover,536,536,"min. 490,00",0,0,0.743,0,0.257,0,0.813,0.187,"Business Administration, Business Informatics, Computer Science"
663,Hochschule Hamm-Lippstadt,6195,3328,There are no study fees.,0,0.099,0.442,0,0.459,0,0.968,0.032,"Business Psychology, Interdisciplinary programmes"
664,Hochschule Ruhr West,6464,4744,There are no study fees.,0,0,0.402,0,0.598,0,0.848,0.15,"Business Administration, Civil Engineering, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
668,SRH Hochschule Berlin,722,722,no data,0.022,0,0.821,0,0.157,0,0.557,0.413,"Business Administration, Business Informatics, Business Psychology"
677,CBS International Business School,1799,1524,There are no study fees.,0,0,0.959,0.041,0,0,0.614,0.317,"Business Administration, Business Psychology"
679,BSP Business School Berlin - Hochschule für Management,1355,905,"min. 590,00",0,0,0.97,0,0,0.03,0.726,0.274,"Business Administration, Business Psychology"
703,Duale Hochschule Baden-Württemberg Lörrach,2095,2095,"max. 1500,00",0.042,0,0.606,0,0.332,0.019,0.981,0,"Business Administration, Business Informatics, Electrical / Information Engineering, Mechanical Engineering, Mechatronics"
704,Duale Hochschule Baden-Württemberg Mannheim,6221,6221,There are no study fees.,0.008,0,0.493,0,0.499,0,0.995,0,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
705,Duale Hochschule Baden-Württemberg Ravensburg,3853,2496,There are no study fees.,0,0,0.885,0,0.115,0,0.971,0,"Business Administration, Business Informatics"
706,Duale Hochschule Baden-Württemberg Stuttgart,8440,7463,There are no study fees.,0.046,0,0.538,0,0.411,0.005,0.995,0,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Social Policy and Social Work"
707,Duale Hochschule Baden-Württemberg Mosbach,3688,3120,There are no study fees.,0,0,0.305,0,0.695,0,0.993,0,"Business Administration, Business Informatics, Industrial Engineering"
709,Duale Hochschule Baden-Württemberg Villingen-Schwenningen,2563,2563,There are no study fees.,0,0,0.909,0,0.091,0,0.99,0,"Business Administration, Business Informatics, Social Policy and Social Work"
710,Duale Hochschule Baden-Württemberg Heilbronn,2543,2543,There are no study fees.,0,0,0.724,0,0.276,0,0.484,0.513,Business Administration
711,Berufsakademie Hamburg,185,185,"min. 360,00",0,0,0.611,0,0.389,0,1,0,Business Administration
715,Berufsakademie Göttingen,no data available,no data available,no data,,,,,,,,,"Business Administration, Social Policy and Social Work"
719,Hochschule Weserbergland,453,453,"min. 2.100,00",0,0,0.457,0,0.543,0,0.912,0.088,"Business Administration, Business Informatics, Industrial Engineering"
721,Leibniz-Fachhochschule,549,549,There are no study fees.,0.069,0,0.63,0,0.301,0,0.958,0.042,"Business Administration, Business Informatics"
723,Berufsakademie für Bankwirtschaft Hannover - Rastede,95,85,"max. 489,00",0,0,1,0,0,0,1,0,Business Administration
725,Berufsakademie Welfenakademie,193,193,"max. 520,00",0,0,1,0,0,0,1,0,Business Administration
731,Berufsakademie Sachsen,4493,no data available,There are no study fees.,,,,,,,,,"Business Administration, Computer Science"
732,Berufsakademie Sachsen,4493,no data available,There are no study fees.,,,,,,,,,"Business Administration, Environmental Civil Engineering, Mechanical Engineering"
733,Berufsakademie Sachsen,4493,927,There are no study fees.,0,0,0.72,0,0.28,0,1,0,"Business Administration, Business Informatics, Computer Science"
735,Duale Hochschule Schleswig-Holstein,453,453,"min. 409,00",0,0,0.879,0,0.121,0,1,0,"Business Administration, Business Informatics"
739,Duale Hochschule Gera-Eisenach,1427,588,There are no study fees.,0,0,0.473,0,0.527,0,1,0,"Business Administration, Industrial Engineering"
742,Berufsakademie Sachsen,4493,,There are no study fees.,,,,,,,,,"Business Administration, Social Policy and Social Work"
743,Berufsakademie Sachsen,4493,467,There are no study fees.,0,0,0.385,0,0.615,0,1,0,"Business Administration, Business Informatics, Electrical / Information Engineering, Industrial Engineering"
750,Hochschule Fresenius,10755,212,no data,0,0,1,0,0,0,1,0,
751,CVJM-Hochschule,410,410,no data,0,0,0.998,0.002,0,0,0.951,0.049,Social Policy and Social Work
752,Hochschule der Wirtschaft für Management,430,430,"min. 490,00",0,0,1,0,0,0,0.837,0.163,"Business Administration, Social Policy and Social Work"
754,Akkon-Hochschule für Humanwissenschaften,657,657,"min. 195,00",0.967,0,0.033,0,0,0,1,0,"Nursing Science, Social Policy and Social Work"
755,Hochschule für Gesundheit,1404,1404,There are no study fees.,1,0,0,0,0,0,0.915,0.085,Nursing Science
757,Fachhochschule Dresden,503,503,"max. 525,00",0.082,0,0.769,0,0.06,0.089,1,0,"Business Administration, Computer Science, Nursing Science, Social Policy and Social Work"
758,APOLLON Hochschule der Gesundheitswirtschaft,2934,2934,no data,0.789,0,0.211,0,0,0,0.891,0.109,Nursing Science
759,Fliedner Fachhochschule,1588,1588,There are no study fees.,0.336,0,0.664,0,0,0,0.914,0.086,"Nursing Science, Social Policy and Social Work"
761,Philosophisch-Theologische Hochschule Vallendar,389,389,There are no study fees.,0.658,0,0,0.342,0,0,0.118,0.224,Nursing Science
762,SRH Hochschule Hamm,669,669,"min. 320,00",0,0,1,0,0,0,0.646,0.354,"Business Administration, Business Psychology, Industrial Engineering, Social Policy and Social Work"
763,Quadriga Hochschule Berlin,86,86,no data,0,0,1,0,0,0,0,1,Business Administration
766,MSB Medical School Berlin,1545,1545,"min. 390,00",0.14,0,0.86,0,0,0,0.795,0.205,"Psychology, Social Policy and Social Work"
767,Hochschule der Bayerischen Wirtschaft,411,411,"min. 495,00",0,0,0.662,0,0.338,0,0.949,0.051,"Business Administration, Business Informatics, Industrial Engineering, Mechanical Engineering"
769,NBS Hochschule für Management und Sicherheit Hamburg,901,901,no data,0,0,0.992,0,0.008,0,0.998,0.002,"Business Administration, Social Policy and Social Work"
770,Berufsakademie Sachsen,4493,no data available,There are no study fees.,,,,,,,,,"Business Administration, Business Informatics, Civil Engineering, Computer Science, Industrial Engineering, Mechanical Engineering"
771,Internationale Berufsakademie der F+U Unternehmensgruppe,no data available,no data available,"min. 550,00",,,,,,,,,"Business Administration, Social Policy and Social Work"
772,Berufsakademie Sachsen,4493,no data available,There are no study fees.,,,,,,,,,Business Administration
773,Berufsakademie Lüneburg,no data available,no data available,no data,,,,,,,,,"Business Administration, Social Policy and Social Work"
774,IBS IT & Business School Oldenburg,193,193,no data,0,0,0.43,0,0.57,0,1,0,"Business Administration, Business Informatics"
775,Private Berufsakademie Fulda - University of Cooperative Education,no data available,no data available,no data,,,,,,,,,"Business Administration, Industrial Engineering"
776,Berufsakademie Rhein-Main,no data available,no data available,no data,,,,,,,,,"Business Administration (Studiengang Betriebswirtschaftslehre), Business Administration (Studiengang Internationale Betriebswirtschaftslehre & Aussenwirtschaft), Business Informatics"
777,ASW - Berufsakademie Saarland,420,420,"min. 450,00",0,0,0.46,0,0.54,0,1,0,"Business Administration, Business Informatics, Industrial Engineering, Mechanical Engineering"
778,Berufskademie für Gesundheits- und Sozialwesen Saarland,no data available,no data available,no data,,,,,,,,,Nursing Science
779,SRH Hochschule für Gesundheit,1169,1169,"min. 395,00",0.573,0,0.411,0,0,0.015,0.845,0.155,Social Policy and Social Work
780,Hochschule für Künste im Sozialen,297,297,no data,0,0,0,0,0,1,0.902,0.098,Social Policy and Social Work
783,Berlin International - University of Applied Sciences,187,187,no data,0,0,0.251,0,0.497,0.251,1,0,"Business Administration, Business Informatics"
784,VWA-Hochschule für berufsbegleitendes Studium,390,390,"min. 225,00",0,0,1,0,0,0,1,0,"Business Administration, Business Psychology, Industrial Engineering"
785,Berufsakademie Melle,no data available,,no data,,,,,,,,,Social Policy and Social Work
804,Ruprecht-Karls-Universität Heidelberg,28281,1812,There are no study fees.,1,0,0,0,0,0,0,0.043,Medicine
828,Katholische Universität Eichstätt-Ingolstadt,4864,933,There are no study fees.,0,0,1,0,0,0,0.482,0.476,Business Administration
830,Friedrich-Alexander-Universität Erlangen-Nürnberg,37769,9231,There are no study fees.,0.008,0.085,0.706,0.119,0.051,0.03,0.404,0.292,"Business Administration, Business Informatics, Economic Sciences, Economics, German Language and Literature"
834,Technische Universität München,40632,16372,There are no study fees.,0,0.297,0,0,0.703,0,0.518,0.426,"Biotechnology, Business Informatics, Chemistry, Computer Science, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics"
877,Hochschule Macromedia,3276,455,"min. 690,00",0,0,0.714,0,0,0.286,0.624,0.105,Business Administration
878,EBS Universität für Wirtschaft und Recht,2012,456,"min. 4.150,00",0,0,1,0,0,0,0,0.156,Law
977,Hochschule Macromedia,3276,528,"max. 895,00",0,0,0.866,0,0,0.134,0.917,0.064,Business Administration
1021,Fachhochschule Salzburg,no data available,no data available,"363,36",0.166,0,0.459,0,0.167,0.208,0.737,0.242,"Electrical / Information Engineering, Social Policy and Social Work"
1022,Fachhochschule Kärnten,2507,1166,"363,36",0,0,0.521,0,0.479,0,0.748,0.241,"Business Administration, Computer Science, Electrical / Information Engineering (Studiengang Electrical Energy & Mobility Systems), Electrical / Information Engineering (Studiengang Integrated Systems and Circuits Design), Industrial Engineering, Mechanical Engineering, Mechatronics"
1023,Fachhochschule Vorarlberg,1478,1478,There are no study fees.,0.055,0,0.428,0,0.401,0.116,0.729,0.271,"Business Administration, Computer Science, Electrical / Information Engineering, Energy Systems, Industrial Engineering, Mechatronics, Social Policy and Social Work"
1024,Fachhochschule St. Pölten,3075,no data available,"363,36",0.147,0,0.367,0,0.486,0,0.62,0.209,Computer Science
1025,FH JOANNEUM,4796,3527,There are no study fees.,0.203,0,0.181,0,0.434,0.181,0.665,0.258,"Computer Science, Electrical / Information Engineering"
1026,Fachhochschule Wiener Neustadt,3800,no data available,"363,36",0.19,0,0.442,0,0.28,0.088,0.672,0.328,"Business Administration (Fachbereich Wirtschaft), Business Administration (Studienbereich Business Consultancy International), Computer Science, Industrial Engineering, Mechatronics, Nursing Science"
