id,name,total_number_of_students,students_at_this_campus,tuition_fees,medicine_health_science_per,natural_sciences_mathematics_per,law_economic_and_social_sciences_per,humanities_languages_per,engineering_science_incl_computer_science_per,other_studies_per,bachelors_degree_per,masters_degree_percentage_per,departments
350,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen (HfWU),5434,3251,There are no study fees.,0,0,0.643,0,0.205,0.151,0.826,0.158,"Business Administration, Economics"
351,Hochschule Nordhausen,2342,2342,There are no study fees.,0,0,0.774,0,0.226,0,0.85,0.143,"Business Administration, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Social Policy and Social Work"
352,"Hochschule für Technik, Wirtschaft und Medien Offenburg",4392,4392,There are no study fees.,0,0.057,0.293,0,0.65,0,0.825,0.175,"Computer Science, Electrical / Information Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics, Process Engineering"
354,Hochschule Pforzheim,6112,6112,There are no study fees.,0,0,0.688,0,0.212,0.099,0.852,0.128,"Business Administration, Business Informatics, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics"
355,Hochschule Rhein-Waal,6866,4858,There are no study fees.,0.015,0.147,0.493,0,0.264,0.082,0.785,0.215,"Biotechnology, Business Administration, Economics, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mechanical Engineering, Mechatronics"
356,Hochschule Ravensburg-Weingarten,3625,3625,There are no study fees.,0.014,0,0.33,0,0.598,0.058,0.828,0.148,"Business Administration, Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Mechatronics, Nursing Science, Physical Technology, Social Policy and Social Work"
358,Hochschule Reutlingen,5482,5482,There are no study fees.,0,0.085,0.44,0,0.418,0.057,0.745,0.224,"Business Administration (ESB Business School), Business Administration (Fakultät Textil & Design), Business Informatics, Chemical Engineering, Computer Science, Electrical / Information Engineering, Industrial Engineering (Fakultät Technik), Industrial Engineering (ESB Business School), Interdisciplinary programmes, Mechanical Engineering, Mechatronics"
364,Hochschule der Medien Stuttgart,5003,5003,There are no study fees.,0,0,0.448,0.056,0.415,0.081,0.841,0.126,"Business Administration, Business Informatics, Computer Science, Industrial Engineering, Process Engineering"
366,Hochschule für Technik Stuttgart,3791,3791,There are no study fees.,0,0.061,0.173,0,0.766,0,0.8,0.187,"Architecture, Business Administration, Business Informatics, Business Psychology, Civil Engineering, Computer Science, Industrial Engineering, Interdisciplinary programmes"
368,Hochschule Ulm,3807,3807,There are no study fees.,0.052,0.04,0,0,0.885,0.023,0.921,0.079,"Business Informatics, Computer Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Mechanical Engineering, Mechatronics"
370,SRH Hochschule Heidelberg,3363,3363,"min. 600,00",0.093,0,0.649,0,0.215,0.043,0.713,0.287,"Architecture, Business Administration, Business Informatics, Business Psychology, Civil Engineering, Commercial / Business Law, Computer Science, Electrical / Information Engineering, Industrial Engineering, Mechanical Engineering, Social Policy and Social Work"
384,Evangelische Hochschule Freiburg,920,920,"min. 280,00",0,0,0.896,0.104,0,0,0.835,0.142,Social Policy and Social Work
387,Katholische Hochschule Freiburg,1781,1718,"min. 280,00",0.239,0,0.725,0.036,0,0,0.937,0.062,"Nursing Science, Social Policy and Social Work"
389,Ostbayerische Technische Hochschule Amberg-Weiden,3098,1622,There are no study fees.,0,0,0,0,1,0,0.891,0.107,"Computer Science, Electrical / Information Engineering, Energy Systems, Environmental Engineering, Materials Science / Engineering, Mechanical Engineering"
390,Hochschule für angewandte Wissenschaften Ansbach,2984,2984,There are no study fees.,0.014,0.044,0.586,0,0.357,0,0.9,0.082,"Biotechnology, Business Administration, Business Informatics, Energy Systems, Industrial Engineering"
