name,department_name,teaching_staff_at_the_department,total_number_of_students,number_of_master_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,share_of_anglophone_research_groups,teacher_support,support_in_studies,courses_offered,teaching_of_technical/professional_competence,teaching_of_methodological_competence,teaching_of_interdisciplinary_competence,study_organisation,exams,laboratory_internships,excursions,research_orientation,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,schoolpractice,teacher_qualification_students,teacher_qualification_programmes,teacher_qualification_centre,teacher_qualification_monitor_in_german,further_degree_courses_of_the_department,degree_courses,url,percentage_of_teaching_by_practitioners,graduations_in_appropriate_time_masters,outgoing_students,bachelor_theses_in_cooperation_with_work_environment,master_theses_in_cooperation_with_work_environment,share_of_professors_with_work_experience,publications_per_professor,third_party_funds_per_academic,doctorates_per_professor,research_reputation,return_rate_of_the__questionnaires,students_in_cooperative_education,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,publications_per_academic,transition_to_masters_studies,provision_of_instruments_pre_clinical,provision_of_instruments_for_clinical_studies,citations_per_publication,third_party_funds_per_professor,habilitation_treatises_in_ten_years,dentists_chairs,phantom_heads,laboratories,share_of_external_repetitions_visited,exam_preparation,exams_preparation___specific_offers,exams_preparation___training,exams_preparation___addiotional_services,exam_results,assistance_with_exam_preparation,self_study_places,habilitation_treatises_per_ten_professors,support_in_bedside_teaching,dovetailing_of_pre_clinic_and_clinic_studies,clerkship,skills_labs,cooperative_doctoral_degrees_in_three_years,support_during_practical_semester,sports_facilities,publications_per_professor_in_business_administration,publications_per_professor_in_economics,professional_qualification_for_architects,scientific_artistical_orientation,workstations,professors_with_own_engineering_company,extent_of_interlinking,coordination_of_theory_and_practice_phases,subject_specific_equipment,study_quality_funds_for_excursions
Universität Ulm,Fakultät für Naturwissenschaften at the Uni Ulm,,300,95,9/14points,87.9%,65.0%,2.4,2.2,2.7,,,,1.5,1.9,2.3,,2.6,,2.0,2.1,1.8,1.6,2.4,,70,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Physics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20564'}, {'name': 'Business Physics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40133'}, {'name': 'Physics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20826'}, {'name': 'Biophysics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40132'}]",https://ranking.zeit.de/che/en/fachbereich/400028,,77.8%,2.0%,,,,,,,,,,3/10points,7/10points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Ulm,"Fakultät für Ingenieurwissenschaften, Informatik und Psychologie at the Uni Ulm",,880,300,11/14points,94.3%,,2.4,1.8,2.6,,,,1.9,2.1,,,1.8,2.7,2.7,1.5,1.9,1.8,2.2,,,,,,none,"[{'name': 'Psychology (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36542'}, {'name': 'Psychology (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37399'}]",https://ranking.zeit.de/che/en/fachbereich/500004,,75.0%,2.0%,,,,,33.1T€,0.4,,,,1/9points,1/9points,,,2.3,1.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Wirtschaftswissenschaftliche Fakultät at the Uni Augsburg,,"2,850",,9/14points,95.9%,,2.4,2.1,2.3,,,,2.0,2.4,,,2.6,2.9,2.0,1.8,2.0,1.7,2.1,,,,,,Finance and Information Management (M.Sc. with honors),"[{'name': 'Business Administration (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/38416'}, {'name': 'Global Business Management (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25161'}, {'name': 'German-French Management (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18841'}, {'name': 'Global Business Management (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25810'}, {'name': 'Business Administration (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25670'}]",https://ranking.zeit.de/che/en/fachbereich/300032,10.0%,64.9%,2.0%,no data,no data,12.0%,"Points per professor within the range 1,2 to 2,3",,0.6,3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Wirtschaftswissenschaftliche Fakultät - FIM at the Uni Augsburg,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"[{'name': 'Finance and Information Management (M.Sc. with honors)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18842'}]",https://ranking.zeit.de/che/en/fachbereich/8300032,35.0%,100.0%,25.0%,no data,71.1%,33.0%,,178.5T€,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Fakultät für Angewandte Informatik at the Uni Augsburg,,340,,10/12points,100.0%,,1.8,1.7,1.9,,,,1.4,1.8,,,2.0,2.1,1.7,1.5,1.6,1.8,1.5,,,,,,,"[{'name': 'Business Informatics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22352'}, {'name': 'Business Informatics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/42602'}]",https://ranking.zeit.de/che/en/fachbereich/4100382,16.0%,no graduates yet,1.0%,80.0%,79.7%,0.0%,,,0.7,,,,7/13points,7/13points,8/12points,7/12points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Fakultät für Angewandte Informatik at the Uni Augsburg,,"1,800",215,9/14points,91.7%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,,no,Link,Link,none,"[{'name': 'Computer Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20727'}, {'name': 'Computer Science and Multimedia (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/7894'}, {'name': 'Computational Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34007'}, {'name': 'Geoinformatics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27025'}, {'name': 'Medical Computer Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40350'}, {'name': 'Computer Science (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21224'}, {'name': 'Elite degree course in Software Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/15485'}, {'name': 'Computer Science and Multimedia (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/15180'}, {'name': 'Computational Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40351'}]",https://ranking.zeit.de/che/en/fachbereich/420129,5.0%,57.8%,0.0%,0.0%,0.0%,6.0%,,40.6T€,0.7,,,none,3/9points,2/9points,5/11points,4/11points,3.8,no survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Wirtschaftswissenschaftliche Fakultät at the Uni Augsburg,,460,,8/14points,less than 10 graduates per year during the time surveyed,,,,,,,,,,,,,,,,,,,,,,,,,"[{'name': 'Economics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/38435'}, {'name': 'Economics & Public Policy (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25707'}]",https://ranking.zeit.de/che/en/fachbereich/100227,5.0%,51.1%,1.0%,no data,no data,no data,"Points per professor within the range 0,6 to 1,0",,0.3,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philosophisch-Sozialwissenschaftliche Fakultät at the Uni Augsburg,no data,940,220,,96.2%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,,,,,Education Science (B),[],https://ranking.zeit.de/che/en/fachbereich/30506,no data,71.7%,,no data,no data,no data,6.4,no data,no data available,,,,,,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philologisch-Historische Fakultät at the Uni Augsburg,no data,260,50,no data available,68.2%,,,,,,,,,,,,,,,,,,,,610,no data,Link,Link,English/American Studies (B.A.); North American Studies (M.A.); English and American Studies (M.A.),[],https://ranking.zeit.de/che/en/fachbereich/30504,,not calculated due to less 10 graduates/year; source: german federal statistical office,no data,,,,,,,,,,not ranked,not ranked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Fakultät für Angewandte Informatik at the Uni Augsburg,,"1,020",132,no data available,81.4%,,,,,,,,,,,no survey,no survey,no survey,no survey,,,,,,no data available,teacher qualification degree courses are offered,Link,Link,Geography (B); Geography (M),[],https://ranking.zeit.de/che/en/fachbereich/430033,,40.0%,,,,,,no data available,0.6,6.5%,,,no data available,no data available,No data available,No data available,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philologisch-Historische Fakultät at the Uni Augsburg,43,"1,100",150,7/14points,76.5%,,2.5,2.9,,,,,,2.6,,,2.9,,,,2.4,1.8,,,"8,320",teacher qualification (B.Ed./StEx),Link,Link,none,"[{'name': 'Comparative Literature (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24066'}, {'name': 'German Language and Literature (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22589'}, {'name': 'German as a Second and Foreign Language and Intercultural Communication (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/29127'}, {'name': 'German Language and Literature (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24069'}, {'name': 'Application-oriented Intercultural Linguistics (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24070'}, {'name': 'International Literature (Comparative Literature/Comparative Studies) (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24071'}, {'name': 'Specialised Teaching Sciences (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24075'}]",https://ranking.zeit.de/che/en/fachbereich/30004,,31.3%,1.0%,,,,,,,,,,3/9points,3/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Mathematisch-Naturwissenschaftlich-Technische Fakultät at the Uni Augsburg,,820,,9/12points,87.8%,,1.9,1.8,1.9,,,,1.4,1.8,,,1.9,2.1,1.6,1.6,1.6,1.5,1.5,,,,,,,"[{'name': 'Industrial Engineering (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/32031'}, {'name': 'Industrial Engineering (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/32660'}]",https://ranking.zeit.de/che/en/fachbereich/1600755,11.0%,96.2%,3.0%,14.5%,27.7%,33.3%,,,,,,,6/13points,7/13points,5/12points,6/12points,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Juristische Fakultät at the Uni Augsburg,,"2,760",,no data,,,,,,,,,,,,,,,,,,,,,,,,,,[],https://ranking.zeit.de/che/en/fachbereich/400031,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,no data,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Mathematisch-Naturwissenschaftlich-Technische Fakultät at the Uni Augsburg,,260,110,4/14points,85.2%,,2.0,2.1,2.1,,,,1.8,1.8,,,2.1,2.2,,1.7,,1.5,2.0,,,,,,none,"[{'name': 'Materials Science (B.Sc.)\n(MatSE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41061'}, {'name': 'Materials Science (M.Sc.)\n(MatSE)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41060'}]",https://ranking.zeit.de/che/en/fachbereich/604411?subfach=108,no data,36.4%,3.0%,56.3%,41.6%,no data,,102.2T€,1.0,,,,,,7/11points,3/11points,,1.8,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Augsburg,,630,118,7/14points,85.2%,,1.9,2.0,,,,,1.4,1.7,,,2.1,2.6,,1.9,,,1.6,,"2,530",teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Business Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/7071'}, {'name': 'Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20825'}, {'name': 'Mathematics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20809'}, {'name': 'Business Mathematics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/15263'}, {'name': 'Mathematical Analysis and Modelling (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40134'}]",https://ranking.zeit.de/che/en/fachbereich/400029,,100.0%,,,,,,16.0T€,0.4,,,,3/9points,5/9points,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Augsburg,,180,75,5/14points,84.1%,20.0%,rank group not assignable,2.0,3.1,,,,1.4,rank group not assignable,rank group not assignable,,1.8,,less than 15 answers,1.5,1.7,1.5,2.0,,280,no,Link,Link,none,"[{'name': 'Physics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20803'}, {'name': 'Physics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20808'}]",https://ranking.zeit.de/che/en/fachbereich/400030,,100.0%,,,,,,,,,,,1/10points,2/10points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philosophisch-Sozialwissenschaftliche Fakultät at the Uni Augsburg,no Answer,830,156,no data available,54.5%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,no data available,no,Link,Link,Social Sciences (B); Social Sciences: Conflicts in Politics and Society (M.A.),[],https://ranking.zeit.de/che/en/fachbereich/100121,,no data available,,,,,,,,0.2%,,,no data available,no data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philologisch-Historische Fakultät at the Uni Augsburg,13,100,60,8/14points,72.4%,,2.7,2.7,2.6,,,,2.2,2.7,,,2.6,3.1,1.9,2.5,2.1,2.0,2.3,,290,teacher qualification (StEx),Link,Link,none,"[{'name': 'Application-oriented Intercultural Linguistics (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37724'}, {'name': 'Ibero-Romance Studies (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22680'}, {'name': 'Franco-Romance Studies (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22677'}, {'name': 'Italo-Romance Studies (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22681'}, {'name': 'Application-oriented Intercultural Linguistics (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37725'}, {'name': 'European Communication Cultures from the Enlightenment to the present/Italian (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37793'}, {'name': 'European Communication Cultures from the Enlightenment to the present/French (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36438'}]",https://ranking.zeit.de/che/en/fachbereich/440009,,<10 graduades/year in at least one of the years surveyed; source: department survey,18.0%,,,,,,,,,,6/9points,6/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Augsburg,Philosophisch-Sozialwissenschaftliche Fakultät at the Uni Augsburg,,,,no data available,,,,,,,,,,,,,,,,,,,,,no data available,teacher qualification degree courses are offered,Link,Link,none,[],https://ranking.zeit.de/che/en/fachbereich/430571,,,,,,,< 3 Professors at the department,<3 professors at the department on average,<3 Professors at the department on average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Sozial- und Wirtschaftswissenschaften at the Uni Bamberg,,"2,230",,7/14points,90.2%,,2.5,2.3,2.3,,,,1.9,2.6,,,2.5,2.9,1.8,2.5,1.7,2.1,2.2,,,,,,,"[{'name': 'Business Administration (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18845'}, {'name': 'International Business Administration (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18848'}, {'name': 'Business Administration (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18846'}, {'name': 'International Business Administration (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18847'}, {'name': 'Finance & Accounting (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41932'}]",https://ranking.zeit.de/che/en/fachbereich/300033,5.0%,61.2%,3.0%,25.0%,25.0%,7.0%,"Points per professor within the range 2,4 to 5,1",9.9T€,1.3,3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Wirtschaftsinformatik und Angewandte Informatik at the Uni Bamberg,,"1,280",,9/12points,81.5%,,2.0,1.8,1.7,,,,1.7,2.2,,,2.0,2.1,1.7,1.6,1.6,2.2,1.7,,,,,,,"[{'name': 'Business Informatics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13886'}, {'name': 'International Information Systems Management (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/25808'}, {'name': 'Business Informatics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/14053'}, {'name': 'International Information Systems Management (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/32785'}]",https://ranking.zeit.de/che/en/fachbereich/100306,8.0%,78.6%,2.0%,32.7%,31.9%,40.0%,,,0.5,,,,8/13points,8/13points,4/12points,5/12points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät für Wirtschaftsinformatik und Angewandte Informatik at the Uni Bamberg,,550,250,9/14points,84.0%,,1.8,1.7,1.8,,,,1.7,1.8,,,1.9,1.9,1.7,1.3,1.6,2.1,1.6,,,no,Link,Link,none,"[{'name': 'Applied Computer Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/14701'}, {'name': 'Software Systems Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34008'}, {'name': 'Computing in the Humanities (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27366'}, {'name': 'Applied Computer Science (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/15213'}, {'name': 'International Software Systems Science (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40403'}]",https://ranking.zeit.de/che/en/fachbereich/430006,5.0%,32.0%,1.0%,13.4%,23.1%,no data,,17.6T€,0.2,,,none,3/9points,5/9points,3/11points,3/11points,2.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Sozial- und Wirtschaftswissenschaften at the Uni Bamberg,,470,,8/14points,92.5%,,2.4,2.1,2.3,,,,1.7,2.7,,,2.4,3.1,1.5,2.5,1.6,2.0,2.1,,,,,,,"[{'name': 'European Economic Studies (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13034'}, {'name': 'European Economic Studies (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13550'}]",https://ranking.zeit.de/che/en/fachbereich/300133,5.0%,28.1%,5.0%,9.3%,7.0%,20.0%,"Points per professor within the range 0,6 to 1,0",7.3T€,0.2,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Humanwissenschaften at the Uni Bamberg,29,"1,220",410,,84.9%,,2.2,2.4,2.8,,,,2.6,2.7,,,2.5,2.9,2.5,1.9,1.9,2.1,2.5,,,,,,"yes, please see department website","[{'name': 'Education Science (B.A., extended major)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36162'}, {'name': 'Adult Education/Continuing Education (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36164'}, {'name': 'Empirical Educational Research (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41451'}, {'name': 'Education and Teaching Sciences (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36166'}, {'name': 'Educational Management and School Management (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36167'}, {'name': 'Educational Quality in Developing Countries (M.A., further education)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37711'}]",https://ranking.zeit.de/che/en/fachbereich/30508,5.0%,46.5%,,no data,no data,5.0%,6.4,38.9T€,0.7,,,,,,4/11points,3/11points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Geistes- und Kulturwissenschaften at the Uni Bamberg,22,470,90,9/14points,78.9%,,2.0,2.3,2.1,,,,2.3,2.6,,,2.1,3.1,1.8,2.4,1.8,2.2,2.0,,480,teacher qualification (B.Ed./M.Ed./StEx),Link,Link,"yes, please see department website","[{'name': 'English/American Studies (B.A., major, 75 ECTS)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36156'}, {'name': 'English and American Studies (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37345'}]",https://ranking.zeit.de/che/en/fachbereich/30507,,56.5%,4.0%,,,,,,,,,,5/9points,8/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät für Geistes- und Kulturwissenschaften at the Uni Bamberg,,100,169,7/14points,94.6%,,2.3,2.5,2.8,,,,2.6,,,rank group not assignable,rank group not assignable,3.1,less than 15 answers,1.8,2.1,,2.4,,230,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Geography (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21063'}, {'name': 'Social and Population Geography (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34441'}, {'name': 'Historical Geography (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34455'}]",https://ranking.zeit.de/che/en/fachbereich/430034,25.0%,not calculated due to <10 graduates/year in the surveyed period,2.0%,,24.4%,,,7.7T€,0.4,< 1%,,,1/9points,1/9points,2/12points,4/12points,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Geistes- und Kulturwissenschaften at the Uni Bamberg,22,410,130,11/14points,84.9%,,1.9,2.2,2.3,,,,1.9,2.2,,,2.2,2.7,1.9,2.2,1.7,2.0,1.8,,760,teacher qualification (StEx),Link,Link,"yes, please see department website","[{'name': 'German Language and Literature (B.A., major subject, 75 ECTS)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36079'}, {'name': 'German Studies / German language, Literatures and Cultures (MA)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41316'}, {'name': 'Modern German Literature: History, Present, Teaching (MA)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41317'}, {'name': 'German Language and Literature (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41318'}, {'name': ""Joint Master's degree in German Philology of the Middle Ages and the Early Modern Age (M.A.)"", 'url': 'https://ranking.zeit.de/che/en/studiengang/37712'}]",https://ranking.zeit.de/che/en/fachbereich/30009,,45.9%,2.0%,,,,,,,,,,3/9points,3/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Sozial- und Wirtschaftswissenschaften at the Uni Bamberg,33,800,158,8/14points,81.5%,,2.0,2.5,2.2,,,,2.1,2.5,,,2.6,3.0,2.2,1.9,1.8,2.0,2.0,,0,no,Link,Link,none,"[{'name': 'Political Science (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18210'}, {'name': 'Political Science (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18211'}]",https://ranking.zeit.de/che/en/fachbereich/100122,,27.3%,,,,,,,,1.7%,,,2/9points,9/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Humanwissenschaften at the Uni Bamberg,,730,250,10/14points,89.4%,,1.9,2.1,2.3,,,,1.7,2.6,,,2.1,2.8,2.4,2.0,1.7,2.1,1.6,,,,,,none,"[{'name': 'Psychology (B.A., one subject, 180 ECTS)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36083'}, {'name': 'Psychology (M.A., one subject, 120 ECTS)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37440'}]",https://ranking.zeit.de/che/en/fachbereich/30011,,60.6%,1.0%,,,,,29.0T€,0.7,,,,not ranked,not ranked,,,2.0,1.7,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto-Friedrich-Universität Bamberg,Fakultät Geistes- und Kulturwissenschaften at the Uni Bamberg,9,180,10,8/14points,94.4%,,2.0,2.4,2.3,,,,2.0,2.2,,,2.0,3.5,,2.2,1.8,1.7,,,230,teacher qualification (StEx),Link,Link,none,"[{'name': 'Romance Studies (B.A., major, 75 ECTS, multiple subjects)', 'url': 'https://ranking.zeit.de/che/en/studiengang/28721'}, {'name': 'Romance Studies (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36440'}]",https://ranking.zeit.de/che/en/fachbereich/440010,,<10 graduades/year in at least one of the years surveyed; source: department survey,6.0%,,,,,,,,,,8/9points,7/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universität Bayreuth,"Fakultät für Biologie, Chemie und Geowissenschaften at the Uni Bayreuth",56,690,280,10/12points,43.7%,,2.5,2.6,2.7,6/8points,4/8points,3/6points,2.0,2.8,1.9,2.2,less than 15 answers,less than 15 answers,rank group not assignable,2.3,1.6,1.7,2.1,2.6,240,,Link,Link,none,"[{'name': 'Biology (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21438'}, {'name': 'Biochemistry and Molecular Biology (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21440'}, {'name': 'Food and Health Sciences (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40325'}, {'name': 'Molecular Ecology (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21444'}, {'name': 'Biodiversity and Ecology (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21441'}]",https://ranking.zeit.de/che/en/fachbereich/420080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
