name,department_name,teaching_staff_at_the_department,total_number_of_students,number_of_master_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,share_of_anglophone_research_groups,teacher_support,support_in_studies,courses_offered,teaching_of_technical/professional_competence,teaching_of_methodological_competence,teaching_of_interdisciplinary_competence,study_organisation,exams,laboratory_internships,excursions,research_orientation,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,schoolpractice,teacher_qualification_students,teacher_qualification_programmes,teacher_qualification_centre,teacher_qualification_monitor_in_german,further_degree_courses_of_the_department,degree_courses,url,percentage_of_teaching_by_practitioners,graduations_in_appropriate_time_masters,outgoing_students,bachelor_theses_in_cooperation_with_work_environment,master_theses_in_cooperation_with_work_environment,share_of_professors_with_work_experience,publications_per_professor,third_party_funds_per_academic,doctorates_per_professor,research_reputation,return_rate_of_the__questionnaires,students_in_cooperative_education,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,publications_per_academic,transition_to_masters_studies,provision_of_instruments_pre_clinical,provision_of_instruments_for_clinical_studies,citations_per_publication,third_party_funds_per_professor,habilitation_treatises_in_ten_years,dentists_chairs,phantom_heads,laboratories,share_of_external_repetitions_visited,exam_preparation,exams_preparation___specific_offers,exams_preparation___training,exams_preparation___addiotional_services,exam_results,assistance_with_exam_preparation,self_study_places,habilitation_treatises_per_ten_professors,support_in_bedside_teaching,dovetailing_of_pre_clinic_and_clinic_studies,clerkship,skills_labs,cooperative_doctoral_degrees_in_three_years,support_during_practical_semester,sports_facilities,publications_per_professor_in_business_administration,publications_per_professor_in_economics,professional_qualification_for_architects,scientific_artistical_orientation,workstations,professors_with_own_engineering_company,extent_of_interlinking,coordination_of_theory_and_practice_phases,subject_specific_equipment,study_quality_funds_for_excursions
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,40,420,110,9/14points,83.8%,,2.2,2.5,2.5,,,,2.2,2.6,,,2.1,3.4,2.4,2.3,1.7,2.1,2.1,,610,teacher qualification (BA/M.Ed.),Link,Link,none,"[{'name': 'German (B.A., multi-disciplinary)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37879'}, {'name': 'German Linguistics and Literary Studies (B.A., dual-subject)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36110'}, {'name': 'German Studies from a German-French Perspective (B.A./Licence)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41337'}, {'name': 'Modern German Literature, Culture, Media (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/16915'}, {'name': 'European Literatures and Cultures - inter-disciplinary (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36112'}, {'name': 'German Linguistics (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/28982'}, {'name': 'German as a Foreign Language/Intercultural Linguistics and Literary Studies (MA)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41338'}, {'name': 'German Literature (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36111'}, {'name': 'Linguistics (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41339'}]",https://ranking.zeit.de/che/en/fachbereich/30114,,32.0%,2.0%,,,,,,,,,,3/9points,4/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,,770,430,9/14points,78.6%,,2.1,2.4,2.0,,,,2.0,,,,2.2,,2.4,,,,1.8,,,,,,none,"[{'name': 'Microsystems Engineering (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35561'}, {'name': 'Embedded Systems Engineering (B.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35560'}, {'name': 'Microsystems Engineering (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35564'}, {'name': 'Embedded Systems Engineering (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35562'}, {'name': 'Microsystems Engineering (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35565'}, {'name': 'Intelligent Embedded Microsystems (M.Sc.)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/35563'}, {'name': 'Solar Energy Engineering (M.Sc., distance learning)\n(IntDiscip)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40953'}]",https://ranking.zeit.de/che/en/fachbereich/9150?subfach=117,no data,29.3%,no data,no data,no data,no data,,235.0T€,3.2,,,,3/9points,4/9points,2/11points,2/11points,5.9,2.1,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,,"2,500",,8/12points,,,2.7,2.7,2.7,,,,2.1,2.8,,,2.6,3.1,2.3,2.7,2.8,2.5,2.5,,,,,,,"[{'name': 'Law (St)', 'url': 'https://ranking.zeit.de/che/en/studiengang/923'}, {'name': 'Law (LL.M.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13647'}, {'name': 'Double Master German-French Law (LL.M.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/41980'}, {'name': 'EUCOR-Master (LL.M.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/19034'}]",https://ranking.zeit.de/che/en/fachbereich/400004,,,,,,,,14.3T€,2.1,,,,,,,,,,,,,,,,,,44.5%,4/10points,1/4points,1/4points,2/2points,no data,2.4,3.2,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,,380,125,11/14points,65.1%,,,,,,,,,,,,,,,,,,,3.1,510,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Mathematics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21454'}, {'name': 'Mathematics (B.Sc./B.A., two-subject, option for TQ)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40090'}, {'name': 'Mathematics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21455'}]",https://ranking.zeit.de/che/en/fachbereich/400002,,23.9%,,,,,,28.1T€,0.6,,,,2/9points,3/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,,"2,870",95,no data available,81.8%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,,,,,Medicine (State Examination); Molecular Medicine (B.Sc.); Molecular Medicine (M.Sc.),[],https://ranking.zeit.de/che/en/fachbereich/420021,,,,,,,24.0,,3.0,25.2%,,,,3,,,,,,,8.6,no data available,,,,,,,,,,,,,no data,no survey,no survey,no survey,no survey,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,,140,70,no data available,100.0%,,no survey,no survey,no survey,,,,no survey,no survey,,,,no survey,no survey,no survey,no survey,no survey,no survey,,,,,,Nursing Science (B); Nursing Science (M); Palliative Care (M),[],https://ranking.zeit.de/che/en/fachbereich/491087,,,,,,,,,,,,no data available,,,No data available,No data available,,,,,,no data,,,,,,,,,,,,,,,,,,no data,no survey,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,,690,76,no data available,63.4%,,2.6,2.5,3.2,,,,1.7,2.4,,,2.3,2.6,3.2,2.2,1.8,1.9,2.4,,,,,,none,"[{'name': 'Pharmacy (State Examination)', 'url': 'https://ranking.zeit.de/che/en/studiengang/7428'}, {'name': 'Pharmaceutical Science (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27617'}, {'name': 'Pharmaceutical Science  (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27618'}]",https://ranking.zeit.de/che/en/fachbereich/420306,,,,,,,,50.0T€,3.2,,,,,,,,1.4,,,,6.8,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,,300,160,9/14points,75.2%,80.0%,2.4,2.5,2.6,,,,1.6,2.3,3.3,,2.1,,rank group not assignable,1.9,1.8,1.7,2.3,,180,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Physics (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21041'}, {'name': 'Physics (B, two-subject, optional TQ)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40093'}, {'name': 'Physics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21042'}, {'name': 'Applied Physics (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40092'}]",https://ranking.zeit.de/che/en/fachbereich/400003,,63.5%,2.0%,,,,,,,,,,2/10points,7/10points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,15,370,123,11/14points,76.4%,,2.1,2.2,2.3,,,,1.9,rank group not assignable,,,2.3,rank group not assignable,2.0,1.7,1.6,1.8,2.0,,100,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Political Science (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/13981'}, {'name': 'Political Science (B.A. with optional TQ)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34714'}, {'name': 'Applied Political Science (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18283'}, {'name': 'Political Science (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18282'}, {'name': 'Applied Political Science (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/18284'}]",https://ranking.zeit.de/che/en/fachbereich/100167,,5.7%,,,,,,,,0.2%,,,3/9points,5/9points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,,730,240,9/14points,79.3%,,2.2,2.4,3.4,,,,,2.9,,,2.0,3.6,,1.8,2.0,2.3,,,,,,,"yes, please see department website","[{'name': 'Psychology (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/22883'}, {'name': 'Clinical Psychology, Neurosciences and Rehabilitation Sciences (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24030'}, {'name': 'Clinical Psychology, Learning and Working (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/24663'}]",https://ranking.zeit.de/che/en/fachbereich/30500,,85.0%,2.0%,,,,,38.8T€,2.1,,,,2/9points,not ranked,,,3.4,1.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
