name,department_name,program_name,type_of_degree_course,standard_period_of_study,total_credits,teaching_profile,interdisciplinarity,credits_for_laboratory_practicals,excursions,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance,url,proportion_of_international_students,share_of_foreign_language_courses,applicants/places_ratio,subject_orientation,practical_elements_in_the_degree_course,mandatory_study_period_abroad,combined_study_programme_with_foreign_hei,international_orientation:_studies_abroad,international_orientation:_students_mobility,international_orientation:_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environment:_internships,contact_with_work_environment:_case_studies,contact_with_work_environment:_external_staff_members,contact_with_work_environment:_theses_in_cooperation_with_work_environment,contact_with_work_environment,mode_of_admission,contact_with_work_environment:_excursions,study_duration_median,share_of_ects_in_international_law,key_skills,admission_requirements,international_orientation:_credits_for_courses_in_intercultural_competence,preliminary_internship,coursework_composition,credits_aquired_at_the_practice_partner,extent_of_interlinking_of_this_programme,extent_of_interlinking:_study_contents,extent_of_interlinking:_support,extent_of_interlinking:_institutionel_level,cooperative_education:_contact_persons,cooperative_education:_outcome_control,cooperative_education:_content_linking,cooperative_education:_courses,cooperative_education:_student_exchange_in_theory/practical_phase,cooperative_education:_selection_process,cooperative_education:_salary,number_of_credits_for_international_law,dual_course_of_study:_success_rate,dual_course_of_study:_contract_modalities,scope_of_compulsory_laboratory_courses
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Geography in multi-disciplinary dual-subject Bachelor’s with TQ option (B.Sc./B.A.),,6semesters,180,,no interdisciplinary study course,,Scope of excursions: 5 compulsory ECTS and 5 compulsory elective ECTS,86,37,no graduates in the period of time surveyed,no graduates in the period of time surveyed,47:53[%m:%f],https://ranking.zeit.de/che/en/studiengang/40423,1.0%,0.0%,236:35,,3 weeks mandatory practical period/internship outside the university; 15 ECTS for practical courses,"no, but credits can be counted",no,,,,Not ranked,0/4points,2/3points,1/2points,0/2points,4/12points,,1/1points,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Geography of Global Change (M.Sc.),,4semesters,120,,no interdisciplinary study course,,Scope of excursions: 10 compulsory ECTS,82,30,27,24.1%,37:63[%m:%f],https://ranking.zeit.de/che/en/studiengang/34080,2.0%,5.0%,116:35,,7 weeks mandatory practical period/internship outside the university; 30 ECTS for practical courses,"no, but credits can be counted",no,1/4points,0/2points,1/3points,2/9points,0/4points,3/3points,1/2points,0/2points,5/12points,,1/1points,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Geosciences (B),Presence learning programme; full-time programme,6semesters,180,,no interdisciplinary study course,,,170,74,40,67.9%,59:41[%m:%f],https://ranking.zeit.de/che/en/studiengang/14636,4.0%,0.0%,no admission restriction,,10 ECTS for practical courses,"no, but credits can be counted",no,1/4points,0/2points,0/3points,1/9points,0/4points,2/3points,2/2points,1/2points,7/12points,,1/1points,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Geology (M),,4semesters,120,,no interdisciplinary study course,,Scope of excursions: 5 compulsory ECTS,52,19,21,31.0%,75:25[%m:%f],https://ranking.zeit.de/che/en/studiengang/34252,65.0%,100.0%,89:20,,,"no, but credits can be counted",no,1/4points,2/2points,3/3points,6/9points,0/4points,0/3points,2/2points,1/2points,4/12points,,1/1points,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Sustainable Materials (profile line Crystalline Materials) (M),,4semesters,120,,no interdisciplinary study course,,Scope of excursions: 2 compulsory ECTS,1,,20,41.5%,,https://ranking.zeit.de/che/en/studiengang/40421,100.0%,100.0%,no admission restriction,,6 ECTS for optional practical projects/internships;,"no, but credits can be counted",no,1/4points,2/2points,3/3points,6/9points,0/4points,0/3points,2/2points,1/2points,3/12points,,0/1points,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,"German (B.A., multi-disciplinary)","presence learning programme, full-time",6semesters,180,,,,,349,118,no data available,no data available,,https://ranking.zeit.de/che/en/studiengang/37879,69.0%,,,,,"no, but credits for study abroad eligible",no,,,,Not ranked,,,,,,"limited number of places, 112 places",,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,"German Linguistics and Literary Studies (B.A., dual-subject)","presence learning programme, full-time",6semesters,180,,,,,267,82,65,83.8%,,https://ranking.zeit.de/che/en/studiengang/36110,73.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,0/3points,3/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German Studies from a German-French Perspective (B.A./Licence),"presence learning programme, full-time",6semesters,180,,,,,,,no data available,no data available,,https://ranking.zeit.de/che/en/studiengang/41337,,,,,,yes,"yes, ""joint degree"" mandatory",4/4points,0/2points,3/3points,7/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,"Modern German Literature, Culture, Media (M.A.)","presence learning programme, full-time",4semesters,120,,,,,32,10,13,32.0%,,https://ranking.zeit.de/che/en/studiengang/16915,78.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,0/3points,3/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,European Literatures and Cultures - inter-disciplinary (M.A.),"presence learning programme, full-time",4semesters,120,,,,,27,10,<10,"not calculated, <10 graduates/year",,https://ranking.zeit.de/che/en/studiengang/36112,81.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,3/3points,6/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German Linguistics (M.A.),"presence learning programme, full-time",4semesters,120,,,,,16,2,<10,"not calculated, <10 graduates/year",,https://ranking.zeit.de/che/en/studiengang/28982,69.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,0/3points,3/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German as a Foreign Language/Intercultural Linguistics and Literary Studies (MA),"presence learning programme, full-time",4semesters,120,,,,,15,8,<10,"not calculated, <10 graduates/year",,https://ranking.zeit.de/che/en/studiengang/41338,80.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,0/3points,3/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German Literature (M.A.),"presence learning programme, full-time",4semesters,120,,,,,13,4,<10,"not calculated, <10 graduates/year",,https://ranking.zeit.de/che/en/studiengang/36111,85.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,0/3points,3/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,Linguistics (M.A.),"presence learning programme, full-time",4semesters,120,,,,,9,3,<10,"not calculated, <10 graduates/year",,https://ranking.zeit.de/che/en/studiengang/41339,56.0%,,,,,"no, but credits for study abroad eligible",no,1/4points,2/2points,3/3points,6/9points,,,,,,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Microsystems Engineering (B.Sc.),"presence learning programme, full-time, interdisciplinary",6semesters,180,"154 credits in mandatory modules, 18 credits in compulsory elective modules","yes, interdisciplinary programme",,,194,55,30,81.7%,77:23[%m:%f],https://ranking.zeit.de/che/en/studiengang/35561,13.0%,0.0%,,"Engineering, interdisciplinary",26 ECTS max. permissible for practice-oriented courses,"no, but credits for study abroad eligible",no,0/4points,2/2points,0/3points,2/9points,0/4points,2/3points,0/2points,0/2points,2/11points,number of places not limited,,7.1semesters,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (B.Sc.),"presence learning programme, full-time, interdisciplinary",6semesters,180,"145 credits in mandatory modules, 27 credits in compulsory elective modules","yes, interdisciplinary programme",,,149,67,22,74.4%,91:9[%m:%f],https://ranking.zeit.de/che/en/studiengang/35560,11.0%,42.0%,,"Engineering, interdisciplinary",32 ECTS max. permissible for practice-oriented courses,"no, but credits for study abroad eligible",no,0/4points,2/2points,2/3points,4/9points,0/4points,3/3points,0/2points,0/2points,3/11points,number of places not limited,,7.8semesters,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Microsystems Engineering (M.Sc.),"presence learning programme, full-time",4semesters,120,no data,,,,95,22,38,26.3%,72:28[%m:%f],https://ranking.zeit.de/che/en/studiengang/35564,96.0%,100.0%,,"Engineering, interdisciplinary",19 ECTS max. permissible for practice-oriented courses,"no, but credits for study abroad eligible",no,0/4points,2/2points,3/3points,5/9points,0/4points,2/3points,0/2points,0/2points,2/11points,limited number of places,,6.5semesters,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (M.Sc.),"presence learning programme, full-time",4semesters,120,no data,,,,197,48,29,36.2%,84:16[%m:%f],https://ranking.zeit.de/che/en/studiengang/35562,52.0%,100.0%,,"Engineering, interdisciplinary",16 ECTS max. permissible for practice-oriented courses,"no, but credits for study abroad eligible",no,0/4points,2/2points,3/3points,5/9points,0/4points,2/3points,0/2points,0/2points,2/11points,limited number of places,,6.5semesters,,,,,,,,,,,,,,,,,,,,,,
