name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,European Literatures and Cultures - inter-disciplinary (M.A.),4 semesters,120,27,10,10,,,,0.81,d,a,a,b,,,,,master
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German Linguistics (M.A.),4 semesters,120,16,2,10,,,,0.69,d,a,d,d,,,,,master
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German as a Foreign Language/Intercultural Linguistics and Literary Studies (MA),4 semesters,120,15,8,10,,,,0.8,d,a,d,d,,,,,master
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,German Literature (M.A.),4 semesters,120,13,4,10,,,,0.85,d,a,d,d,,,,,master
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,Linguistics (M.A.),4 semesters,120,9,3,10,,,,0.56,d,a,a,b,,,,,master
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Microsystems Engineering (B.Sc.),6 semesters,180,194,55,30,0.817,77,23,0.13,e,a,d,d,e,b,c,e,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (B.Sc.),6 semesters,180,149,67,22,0.744,4,9,0.11,e,a,b,c,e,a,c,d,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Microsystems Engineering (M.Sc.),4 semesters,120,95,22,38,0.263,72,28,0.96,e,a,a,c,e,b,c,e,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (M.Sc.),4 semesters,120,197,48,29,0.362,84,16,0.52,e,a,a,c,e,b,c,e,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Microsystems Engineering (M.Sc.),4 semesters,120,79,16,36,0.268,68,32,0.01,e,c,a,d,e,b,c,e,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Intelligent Embedded Microsystems (M.Sc.),5 semesters,150,32,6,10,,4,10,0.19,e,a,d,d,e,a,c,d,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,"Solar Energy Engineering (M.Sc., distance learning)",4 semesters,60,27,14,,,74,26,0.96,,,,,e,a,c,d,bachelor
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,Law (St),9 semesters,,"2,249",366,,,46,54,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,Law (LL.M.),4 semesters,,10,10,,,,,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,Double Master German-French Law (LL.M.),4 semesters,120,14,10,,,,,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,EUCOR-Master (LL.M.),3 semesters,60,10,10,,,,,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,Mathematics (B.Sc.),6 semesters,180,224,69,64,0.651,67,33,0.06,d,b,d,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,"Mathematics (B.Sc./B.A., two-subject, option for TQ)",6 semesters,180,255,118,,,53,47,0.02,,,,,,,,,bachelor
