name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Education Science (Mas),4 semesters,120,51,8,,,,,0.08,,,,,,,,,master
Universität Potsdam,Lehreinheit Geoökologie at the Uni Potsdam,Geoecology (D),6 semesters,180,182,61,29,0.724,46,54,0.02,d,c,d,e,,,,,phd
Universität Potsdam,Lehreinheit Geoökologie at the Uni Potsdam,Geoecology (M),4 semesters,120,102,27,19,0.368,39,61,0.04,d,c,d,e,,,,,master
Universität Potsdam,Lehreinheit Geowissenschaften at the Uni Potsdam,Gesoscience (B),6 semesters,180,287,132,44,0.828,53,47,0.01,d,c,d,e,,,,,bachelor
Universität Potsdam,Lehreinheit Geowissenschaften at the Uni Potsdam,Geosciences (M.Sc.),4 semesters,120,108,24,26,0.577,56,44,0.06,d,b,d,d,,,,,bachelor
Universität Potsdam,Lehreinheit Geowissenschaften at the Uni Potsdam,"Remote Sensing, Geoinformation and Visualization (M.Sc.)",4 semesters,120,8,,,,,,0.5,d,a,d,d,,,,,bachelor
Universität Potsdam,Juristische Fakultät at the Uni Potsdam,Law (St),9 semesters,,"2,296",391,,,39,61,,,,,,,,,,master
Universität Potsdam,Juristische Fakultät at the Uni Potsdam,Law (LL.B.),6 semesters,180,,,,,,,,,,,,,,,,master
Universität Potsdam,Juristische Fakultät at the Uni Potsdam,Media Law (M),,,,,,,,,,,,,,,,,,master
Universität Potsdam,Juristische Fakultät at the Uni Potsdam,Taxation Law (M),,,,,,,,,,,,,,,,,,master
Universität Potsdam,Juristische Fakultät at the Uni Potsdam,Company and Taxation Law (M),,,,,,,,,,,,,,,,,,master
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Mathematics (B.Sc.),6 semesters,180,222,94,10,,50,50,0.01,d,c,d,e,,,,,bachelor
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Mathematics (M.Sc.),4 semesters,120,27,11,10,,81,19,0.3,d,a,a,b,,,,,bachelor
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Physics (B.Sc.),6 semesters,180,283,99,14,0.786,65,35,0.02,d,c,d,e,,,,,bachelor
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Physics (M.Sc.),4 semesters,120,52,15,18,0.686,83,17,0,d,c,a,c,,,,,bachelor
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Astrophysics (M.Sc.),4 semesters,120,21,14,,,57,43,0.71,d,a,a,b,,,,,bachelor
Universität Potsdam,Mathematisch-Naturwissenschaftliche Fakultät at the Uni Potsdam,Polymer Science (M.Sc.),4 semesters,120,14,,,,36,64,1,d,a,a,b,,,,,bachelor
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,"Politics, Administration and Organisation (B.A.)",,180,324,82,30,0.983,52,48,0.04,d,c,d,e,,,,,bachelor
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,Politics and Economics (B.Sc.),,180,217,89,,,63,37,0.04,d,c,d,e,,,,,bachelor
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,"Politics, Administration and Organisation (B.A.)",,120,202,37,86,0.628,46,54,0.07,d,b,d,d,,,,,bachelor
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,Administrative Studies (M.A.),,120,147,46,60,0.723,49,51,0.06,d,b,d,d,,,,,master
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,International Relations (M.A.),,120,125,43,12,0.458,34,66,0.15,d,a,d,d,,,,,master
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,Political Science (M.A.),,120,98,29,43,0.605,59,41,0.05,d,b,d,d,,,,,master
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,National and International Administration and Policy (M.A.),,120,39,,,,36,64,0.23,d,a,d,d,,,,,master
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,Public Management (M.A.),,60,26,24,,,46,54,0.96,d,a,d,d,,,,,master
Universität Potsdam,Wirtschafts- und Sozialwissenschaftliche Fakultät at the Uni Potsdam,European Governance and Administration (M.A.),,120,19,17,,,53,47,0.32,d,a,d,d,,,,,master
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Psychology (B.Sc.),6 semesters,180,422,90,78,0.877,17,83,0.09,d,b,c,d,,,,,bachelor
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Psychology (M.Sc.),4 semesters,120,240,63,70,0.46,15,85,0.08,d,b,c,d,,,,,bachelor
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Cognitive Science - Embodied Cognition (M.Sc.),4 semesters,120,42,26,,,31,69,0.38,d,a,a,b,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"Spanish Philology (B.A., dual subject, 60 CP)",6 semesters,180,97,19,16,0.452,,,0,d,c,a,c,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"French Philology (B.A., dual subject, 60 CP)",6 semesters,180,70,14,13,0.32,,,0,d,c,a,c,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"French Philology (B.A., dual subject, 90 CP)",6 semesters,180,37,8,10,,,,0,d,c,a,c,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"Spanish Philology (B.A., dual subject, 90 CP)",6 semesters,180,36,7,10,,,,0.11,d,a,a,b,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"Italian Philology (B.A., dual subject, 60 CP)",6 semesters,180,35,14,10,,,,0,d,c,a,c,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"Italian Philology (B.A., dual subject, 90 CP)",6 semesters,180,15,3,10,,,,0.13,d,a,a,b,,,,,bachelor
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,Foreign Language Linguistics (M.A.),4 semesters,120,139,33,43,0.212,,,0.61,d,a,a,b,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,Linguisti Communication-Variation-Multilingualism (M.A.),4 semesters,120,78,9,16,0.281,,,0.23,d,a,b,c,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,Applied Cultural Studies and Cultural Semiotics (MA),4 semesters,120,76,27,,,,,0.07,d,b,b,c,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,"Romance Philolo Literature, Culture and Linguistics (M.A.)",4 semesters,120,15,3,10,,,,0.33,d,a,a,b,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,International Applied Cultural Studies and Cultural Semiotics (MA),4 semesters,120,8,4,,,,,0.38,a,a,a,a,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,Romance Philolo Literature and Civilisation Studies (M.A.),4 semesters,120,8,1,,,,,0.62,d,a,a,b,,,,,master
Universität Potsdam,Philosophische Fakultät at the Uni Potsdam,Romance Philolo Linguistics (M.A.),4 semesters,120,8,1,,,,,0.62,d,a,a,b,,,,,master
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Sports Management (B.Sc.),6 semesters,180,288,59,35,0.786,80,20,0.01,,,,,c,d,c,e,bachelor
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Sport Therapy and Prevention (B.Sc.),6 semesters,180,148,28,26,0.788,57,43,0.01,,,,,e,d,c,e,bachelor
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,Sportsmedicine in Clinical Cxercise Science (M.Sc./PhD),3 semesters,180,51,10,10,,43,57,0.53,d,a,a,b,,,,,bachelor
Universität Potsdam,Humanwissenschaftliche Fakultät at the Uni Potsdam,"Integrative Sports, Motion and Health Management (M.Sc.)",4 semesters,120,29,19,,,48,52,0,d,c,a,c,e,a,c,d,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Biology (B.Sc.),6 semesters,180,340,105,72,0.694,27,73,,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Marine Biology (M.Sc.),4 semesters,120,57,19,14,,18,82,0.32,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Neuroscience (M.Sc.),4 semesters,120,51,18,14,,31,69,0.29,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Ecology (M.Sc.),4 semesters,120,50,15,14,,36,64,0.78,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Biochemistry and Molecular Biology (M.Sc.),4 semesters,120,44,20,13,,41,59,0.61,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Int. Studies in Aquatic Tropical Ecology (M.Sc.),4 semesters,120,39,21,22,,44,56,0.59,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Marine Microbiology (M.Sc.),3 semesters,120,31,17,12,,45,55,0.48,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Wirtschaftswissenschaft at the Uni Bremen,Business Administration (B.Sc.),6 semesters,180,"1,280",311,264,0.746,57,43,0.02,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Wirtschaftswissenschaft at the Uni Bremen,Economic Sciences (B.Sc.),6 semesters,180,239,83,21,0.667,60,40,0.01,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Wirtschaftswissenschaft at the Uni Bremen,Business Administration (M.Sc.),4 semesters,120,347,115,124,0.504,55,45,0.02,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik und Informatik at the Uni Bremen,Business Informatics (B.Sc.),6 semesters,180,231,68,18,,84,16,,d,d,c,d,e,b,c,d,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Chemistry (B.Sc.),6 semesters,180,162,47,,,69,31,,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Chemistry (M.Sc.),4 semesters,120,51,12,,,73,27,,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Biologie / Chemie at the Uni Bremen,Biochemistry and Molecular Biology (M.Sc.),4 semesters,120,44,20,,,41,59,,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Computer Science (B.Sc.),6 semesters,180,876,265,84,0.581,87,13,0.07,d,b,c,d,e,a,b,d,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Digital Media (B.Sc.),6 semesters,180,213,64,25,0.58,60,40,0.03,c,c,c,d,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Computer Science (M.Sc.),4 semesters,120,213,60,52,0.447,4,9,0.11,d,a,c,c,e,a,b,d,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Digital Media (M.Sc.),4 semesters,120,84,20,25,0.24,62,38,0.6,d,a,a,b,e,a,b,d,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,"Computer Science (B.Sc., cooperate education course)",8 semesters,180,85,19,,,85,15,,,,,,a,a,a,a,bachelor
Universität Bremen,Fachbereich  Erziehungs- und Bildungswissenschaften at the Uni Bremen,Education Science (M.A.),4 semesters,120,140,39,32,0.547,,,0.04,,,,,c,c,c,d,master
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Electrical Engineering and Information Technology (B),6 semesters,180,196,65,29,0.386,85,15,0.18,d,a,c,c,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Communication and Information Technology (Mas),4 semesters,120,72,21,14,0.037,75,25,0,d,c,a,c,e,a,b,d,master
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Electrical Engineering and Information Technology (Mas),4 semesters,120,75,16,16,0.677,83,17,0.55,d,a,a,b,e,a,b,d,master
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,"Control, Microsystems and Microelectronics (Mas)",4 semesters,120,92,44,41,0.16,84,16,1,d,a,a,b,e,a,b,d,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,English-Speaking Cultures - profile subject (B.A.),6 semesters,180,150,67,17,0.788,,,0.14,c,a,a,b,,,,,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Transcultural Studies (M.A.),4 semesters,120,97,27,15,0.167,,,0,b,c,a,b,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Transnational Literary Studies (M.A.),4 semesters,120,49,12,16,0.344,,,0.16,d,a,a,b,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,"English-Speaking Cultures. Language, Text, Media (M.A.)",4 semesters,120,26,26,,,,,0,d,c,a,c,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Language Sciences (M.A.),4 semesters,120,20,6,10,,,,0.35,d,a,a,b,,,,,master
Universität Bremen,Fachbereich  Sozialwissenschaften at the Uni Bremen,Geography (B.A./B.Sc.),6 semesters,180,171,49,34,0.866,53,47,0.06,d,b,c,d,c,b,b,c,bachelor
Universität Bremen,Fachbereich  Sozialwissenschaften at the Uni Bremen,"Geography (B.A., profile subject)",6 semesters,180,69,12,12,0.8,78,22,0.04,d,c,c,d,c,b,b,d,bachelor
Universität Bremen,Fachbereich  Sozialwissenschaften at the Uni Bremen,Geography City and Regional Development (M.A.),4 semesters,120,65,19,22,0.378,45,55,0.06,d,b,c,d,e,b,b,d,master
Universität Bremen,Fachbereich  Sozialwissenschaften at the Uni Bremen,Physical Geograp Environmental History (M.Sc.),4 semesters,120,23,13,,,61,39,0.65,d,a,a,b,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Geowissenschaften at the Uni Bremen,Geosciences (B),6 semesters,180,231,83,49,0.929,61,39,0.03,d,c,d,e,e,a,c,d,bachelor
Universität Bremen,Fachbereich  Geowissenschaften at the Uni Bremen,Marine Geosciences (M),4 semesters,120,139,45,20,0.275,68,32,0.47,d,a,a,b,e,a,c,d,master
Universität Bremen,Fachbereich  Geowissenschaften at the Uni Bremen,Geosciences (M),4 semesters,120,80,19,33,0.212,58,42,0.01,d,c,c,d,e,a,c,d,master
Universität Bremen,Fachbereich  Geowissenschaften at the Uni Bremen,Materials Chemistry and Mineralogy (M.Sc.),4 semesters,120,57,16,10,,72,28,0.75,d,a,a,b,e,a,c,d,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,German Studies (B.A.) - Profile Subject,6 semesters,180,192,58,26,0.788,,,0.06,d,b,d,d,,,,,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,German Language and Literature (M.A.),4 semesters,120,38,14,15,0.379,,,0.13,d,a,d,d,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Language Sciences (M.A.),4 semesters,120,20,6,10,,,,0.35,d,a,a,b,,,,,master
Universität Bremen,Fachbereich  Produktionstechnik at the Uni Bremen,Industrial Engineering - Product Engineering (B.Sc.),6 semesters,180,414,74,92,0.732,72,28,0.05,d,c,c,d,,,,,bachelor
Universität Bremen,Fachbereich  Produktionstechnik at the Uni Bremen,Industrial Engineering - Product Engineering (M.Sc.),4 semesters,120,222,52,60,0.708,74,26,0.13,d,b,b,d,c,b,d,d,bachelor
Universität Bremen,Fachbereich  Physik/Elektrotechnik at the Uni Bremen,"Industrial Engineering, Electrical and Electronic Engineering and Information Engineering (B.Sc.)",6 semesters,180,189,75,20,0.625,75,25,0.05,d,c,c,d,,,,,bachelor
Universität Bremen,Fachbereich  Physik/Elektrotechnik at the Uni Bremen,"Industrial Engineering, Electrical and Electronic Engineering and Information Engineering (M.Sc.)",4 semesters,120,41,11,3,0.1,78,22,0.05,d,c,b,d,,,,,bachelor
Universität Bremen,Fachbereich  Rechtswissenschaft at the Uni Bremen,Law (St),9 semesters,,"1,255",282,,,38,62,,,,,,,,,,master
Universität Bremen,Fachbereich  Rechtswissenschaft at the Uni Bremen,Comparative and European Law (LL.B.),8 semesters,,10,10,,,,,,,,,,,,,,master
Universität Bremen,Fachbereich  Rechtswissenschaft at the Uni Bremen,Complementary subject Law (B.A.),6 semesters,,92,30,,,34,66,,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Rechtswissenschaft at the Uni Bremen,Complex Decision Making (M.A.),4 semesters,,145,38,,,54,46,,,,,,,,,,master
Universität Bremen,Fachbereich  Rechtswissenschaft at the Uni Bremen,Transnational Law (LL.M.),2 semesters,,25,10,,,68,32,,,,,,,,,,master
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Production Engineering - Mechanical Engineering and Process Engineering (B.Sc.),7 semesters,210,323,56,58,0.704,85,15,0.06,,b,c,d,c,c,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Production Engineering - Mechanical Engineering and Process Engineering (M.Sc.),3 semesters,90,263,91,104,0.527,79,21,0.05,,b,c,d,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Process-Oriented Material Research (M.Sc.),4 semesters,120,1,1,,,4,10,0,,c,a,c,c,d,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Space Engineering (M.Sc.),3 semesters,90,47,38,,,85,15,0.51,,a,a,b,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Mathematics (B.Sc.),6 semesters,180,163,54,23,0.826,61,39,0.04,d,c,d,e,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Technomathematics (B.Sc.),6 semesters,180,82,40,14,0.69,62,38,0.01,d,c,d,e,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Mathematics (M.Sc.),4 semesters,120,53,14,13,0.654,72,28,0.02,d,c,d,e,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Technical Mathematics (M.Sc.),4 semesters,120,35,,10,,71,29,0.06,d,b,d,d,,,,,bachelor
Universität Bremen,Fachbereich  Mathematik / Informatik at the Uni Bremen,Medical Biometry/Biostatistics (M.Sc.),4 semesters,120,10,,11,0.864,40,60,0.3,d,a,d,d,,,,,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Production Engineering - Mechanical Engineering and Process Engineering (B.Sc.),7 semesters,210,323,56,58,0.704,85,15,0.06,,b,c,d,c,c,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Production Engineering - Mechanical Engineering and Process Engineering (M.Sc.),3 semesters,90,263,91,104,0.527,79,21,0.05,,b,c,d,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Process-Oriented Material Research (M.Sc.),4 semesters,120,1,1,,,4,10,0,,c,a,c,c,d,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Space Engineering (M.Sc.),3 semesters,90,47,38,,,85,15,0.51,,a,a,b,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Systems Engineering (B.Sc.),7 semesters,210,216,65,17,0.545,89,11,0.05,d,b,,d,c,a,b,c,bachelor
Universität Bremen,Fachbereich  Fachbereich Produktionstechnik - Maschinenbau & Verfahrenstechnik at the Uni Bremen,Systems Engineering (M.Sc.),3 semesters,90,52,17,24,0.688,90,10,0.12,d,a,,c,e,b,b,d,bachelor
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,Community and Family Health Nursing (M.Sc.),4 semesters,120,23,,,,0,0,,,,,,e,a,a,c,bachelor
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,"Nursing Science, vocational education (MA)",4 semesters,120,12,,,,17,83,,,,,,e,d,a,d,master
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,Nursing Science - cooperate education (B.A. dual),8 semesters,180,105,18,,,12,88,,,,,,a,a,a,a,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Physics (B.Sc.),6 semesters,180,195,74,33,0.758,75,25,0.01,b,c,d,d,,,,,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Physics (B.A./B.Sc. with TQ option grammar school/secondary school level),6 semesters,180,90,40,10,0.81,66,34,0,b,c,d,d,,,,,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Physics (M.Sc.),4 semesters,120,75,16,25,0.38,75,25,0.01,b,c,c,c,,,,,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Environmental Physics (M.Sc.),4 semesters,120,53,21,10,,68,32,0.77,b,a,a,a,,,,,bachelor
Universität Bremen,Fachbereich  Physik / Elektrotechnik at the Uni Bremen,Space Sciences and Technology (M.Sc.),4 semesters,120,5,,,,,,1,b,a,a,a,,,,,bachelor
Universität Bremen,Fachbereich Sozialwissenschaften at the Uni Bremen,Political Science (B.A.),,180,381,105,59,0.72,64,36,0.01,d,c,b,d,,,,,bachelor
Universität Bremen,Fachbereich Sozialwissenschaften at the Uni Bremen,Political Science (2-Subject B.A.) - scientific profile,,180,139,32,25,0.82,47,53,0.03,d,c,b,d,,,,,bachelor
Universität Bremen,Fachbereich Sozialwissenschaften at the Uni Bremen,Social Policy (M.A.),,120,107,19,19,0.237,33,67,0.08,b,b,a,b,,,,,master
Universität Bremen,Fachbereich Sozialwissenschaften at the Uni Bremen,Political Science (M.A.),,120,76,21,14,0.321,63,37,0.05,b,b,c,c,,,,,master
Universität Bremen,Fachbereich Sozialwissenschaften at the Uni Bremen,International Relatio Global Governance and Social Theory (M.A.),,120,18,18,12,0.68,33,67,0.78,d,a,a,b,,,,,master
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,Psychology (B.Sc.),6 semesters,180,528,128,126,"not calculated, degree programme in reconstruction",24,76,0.04,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,Clinical Psychology (M.Sc.),4 semesters,120,210,62,60,"not calculated, degree programme in reconstruction",18,82,0.04,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Human- und Gesundheitswissenschaften at the Uni Bremen,Business Psychology (M.Sc.),4 semesters,120,131,30,45,"not calculated, degree programme in reconstruction",25,75,0,,,,,,,,,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Hispanic Studies/Spanish (B.A.),6 semesters,180,21,6,10,,,,0.14,c,a,a,b,,,,,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Franco-Romance Studies/French (B.A.),6 semesters,180,15,6,10,,,,0.13,c,a,a,b,,,,,bachelor
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Transcultural Studies (M.A.),4 semesters,120,97,29,15,0.167,,,0,b,c,a,b,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Transnational Literary Studies (M.A.),4 semesters,120,49,12,16,0.344,,,0.16,c,a,a,b,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Language Sciences (M.A.),4 semesters,120,20,6,10,,,,0.35,c,a,a,b,,,,,master
Universität Bremen,Fachbereich  Sprach- und Literaturwissenschaften at the Uni Bremen,Romance Studies international (M.A.),4 semesters,120,3,3,,,,,0.33,b,a,a,a,,,,,master
Jacobs University Bremen gGmbH,Life Sciences & Chemistry at the Jacobs Univ. Bremen (priv.),Biochemistry and Cell Biology (B),6 semesters,180,76,27,22,1,33,67,,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Life Sciences & Chemistry at the Jacobs Univ. Bremen (priv.),Medical Natural Sciences (B),6 semesters,180,13,,,,31,69,,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Life Sciences & Chemistry at the Jacobs Univ. Bremen (priv.),Computational Life Science (M),4 semesters,120,13,,10,,46,54,1,,,,,,,,,master
Jacobs University Bremen gGmbH,Life Sciences & Chemistry at the Jacobs Univ. Bremen (priv.),Medicinal Chemistry and Chemical Biology (B),6 semesters,180,33,14,,,24,76,,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Life Sciences & Chemistry at the Jacobs Univ. Bremen (priv.),Chemistry (B),6 semesters,180,12,,8,,17,83,,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Computer Science & Electrical Engineering at the Jacobs Univ. Bremen (priv.),Computer Science (B),6 semesters,180,125,43,16,1,81,19,0.94,d,a,a,b,e,b,c,d,bachelor
Jacobs University Bremen gGmbH,Computer Science & Electrical Engineering at the Jacobs Univ. Bremen (priv.),Data Engineering (M.Sc.),4 semesters,120,42,31,,,69,31,0.93,d,a,a,b,e,a,c,d,bachelor
Jacobs University Bremen gGmbH,Wirtschaftswissenschaftliche Studiengänge at the Jacobs Univ. Bremen (priv.),Global Economics and Management (B.A.),6 semesters,180,63,27,19,1,67,33,0.94,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Wirtschaftswissenschaftliche Studiengänge at the Jacobs Univ. Bremen (priv.),International Business Administration (B.A.),6 semesters,180,85,36,6,0.1,60,40,0.75,,,,,,,,,bachelor
Jacobs University Bremen gGmbH,Physics & Earth Sciences at the Jacobs Univ. Bremen (priv.),Earth and Environmental Sciences (B.Sc.),6 semesters,180,28,,,,50,50,0.75,d,a,a,b,e,b,b,d,bachelor
Jacobs University Bremen gGmbH,Studiengänge Wirtschaftsingenieurwesen at the Jacobs Univ. Bremen (priv.),Industrial Engineering and Management (B.Sc.),6 semesters,180,151,58,26,1,73,27,0.95,d,a,a,c,c,a,c,c,bachelor
Jacobs University Bremen gGmbH,Studiengänge Wirtschaftsingenieurwesen at the Jacobs Univ. Bremen (priv.),Supply Chain Management (M.Sc.),4 semesters,120,61,34,20,1,75,25,0.98,d,a,a,b,e,b,b,d,bachelor
Jacobs University Bremen gGmbH,Department of Computer Science & Electrical Engineering at the Jacobs Univ. Bremen (priv.),Electrical and Computer Engineering (B.Sc.),6 semesters,180,59,19,10,,80,20,1,d,a,a,b,e,b,c,e,bachelor
